Assembly	Best match locus	Best match type	Match confidence	Problems	Coverage	Identity	Length discrepancy	Expected genes in locus	Expected genes in locus, details	Missing expected genes	Other genes in locus	Other genes in locus, details	Expected genes outside locus	Expected genes outside locus, details	Other genes outside locus	Other genes outside locus, details
Klebsiella_oxytoca_ATCC_49131	OL104	unknown (OL104)	Very high		100.00%	99.13%	+1 bp	8 / 8 (100%)	OL104_01_manC,100.0%;OL104_02_manB,99.132%;OL104_03_wzm,100.0%;OL104_04_wzt,99.536%;OL104_05_wbdD,99.125%;OL104_06_wbdA,99.124%;OL104_07_wbdB,99.476%;OL104_08_wbdC,98.925%		0		0 / 8 (0%)		0	
Klebsiella_oxytoca_ATCC_51817	O3/O3a	O3/O3a	High	*	100.00%	90.39%	+1 bp	8 / 8 (100%)	O3/O3a_01_manC,91.314%;O3/O3a_02_manB,92.625%;O3/O3a_03_wzm,99.237%;O3/O3a_04_wzt,98.148%;O3/O3a_05_wbdD,97.32%;O3/O3a_06_wbdA,97.265%;O3/O3a_07_wbdB,90.838%;O3/O3a_08_wbdC,89.247%		0		0 / 8 (0%)		0	
Klebsiella_oxytoca_ATCC_51983	O3/O3a	O3/O3a	High	*	99.89%	90.36%	+1 bp	8 / 8 (100%)	O3/O3a_01_manC,91.525%;O3/O3a_02_manB,92.408%;O3/O3a_03_wzm,99.237%;O3/O3a_04_wzt,98.148%;O3/O3a_05_wbdD,97.179%;O3/O3a_06_wbdA,97.265%;O3/O3a_07_wbdB,91.099%;O3/O3a_08_wbdC,89.189%		0		0 / 8 (0%)		4	O12_01_rfbB,93.239%;OL102_02_rfbA,95.517%;OL102_03_rfbD,90.236%;O12_04_rfbC,91.351%
Klebsiella_oxytoca_ATCC_700324	OL104	unknown (OL104)	Very high		100.00%	99.04%	+1 bp	8 / 8 (100%)	OL104_01_manC,99.788%;OL104_02_manB,98.915%;OL104_03_wzm,100.0%;OL104_04_wzt,99.536%;OL104_05_wbdD,99.271%;OL104_06_wbdA,99.124%;OL104_07_wbdB,99.476%;OL104_08_wbdC,98.925%		0		0 / 8 (0%)		2	OL104_01_manC,99.788%;OL104_02_manB,98.465%
Klebsiella_oxytoca_ATCC_8724	O1/O2v1	O2a	Good	-+*	96.39%	72.14%	+7 bp	4 / 7 (57.1%)	O1/O2v1_01_wzm,91.406%;O1/O2v1_02_wzt,93.117%;O1/O2v1_04_glf,86.234%;O1/O2v1_06_wbbO,83.862%	O1/O2v1_03_wbbM;O1/O2v1_05_wbbN;O1/O2v1_07_kfoC	1	O1/O2v3_03_wbbM,83.07%	0 / 7 (0%)		4	O12_01_rfbB,92.958%;OL102_02_rfbA,95.172%;OL102_03_rfbD,91.919%;O12_04_rfbC,91.892%
Klebsiella_oxytoca_ATCC_BAA_2572	O5	O5	High	*	100.00%	81.65%	-1 bp	8 / 8 (100%)	O5_01_manC,91.102%;O5_02_manB,92.375%;O5_03_wzm,97.358%;O5_04_wzt,94.321%;O5_05_wbdD,82.67%;O5_06_wbdA,88.88%;O5_07_wbdB,90.674%;O5_08_wbdC,89.247%		0		0 / 8 (0%)		0	
Klebsiella_oxytoca_ATCC_BAA_3059	O1/O2v1	O1ab	Low	?-+*	93.33%	73.12%	n/a	4 / 7 (57.1%)	O1/O2v1_01_wzm,91.406%;O1/O2v1_02_wzt,93.522%;O1/O2v1_04_glf,86.234%;O1/O2v1_06_wbbO,84.127%	O1/O2v1_03_wbbM;O1/O2v1_05_wbbN;O1/O2v1_07_kfoC	1	O1/O2v3_03_wbbM,82.911%	0 / 7 (0%)		2	Extra_genes_wbbY_01_wbbY,92.713%;Extra_genes_wbbZ_01_wbbZ,89.259%
Klebsiella_pneumoniae_ATCC_4352	O1/O2v1	O2a	Very high		100.00%	98.46%	-2 bp	7 / 7 (100%)	O1/O2v1_01_wzm,100.0%;O1/O2v1_02_wzt,99.595%;O1/O2v1_03_wbbM,99.525%;O1/O2v1_04_glf,99.481%;O1/O2v1_05_wbbN,98.658%;O1/O2v1_06_wbbO,99.206%;O1/O2v1_07_kfoC,98.633%		0		0 / 7 (0%)		2	O3b_01_manC,100.0%;O3/O3a_02_manB,98.904%
Klebsiella_pneumoniae_ATCC_BAA_1144	O5	O5	High	*	100.00%	94.18%	0 bp	8 / 8 (100%)	O5_01_manC,99.153%;O5_02_manB,99.562%;O5_03_wzm,99.245%;O5_04_wzt,98.765%;O5_05_wbdD,94.366%;O5_06_wbdA,95.387%;O5_07_wbdB,99.482%;O5_08_wbdC,100.0%		0		0 / 8 (0%)		0	
Klebsiella_pneumoniae_ATCC_BAA_1705	O1/O2v2	O2afg	Very high		100.00%	98.38%	0 bp	10 / 10 (100%)	O1/O2v2_01_wzm,100.0%;O1/O2v2_02_wzt,99.19%;O1/O2v2_03_wbbM,98.576%;O1/O2v2_04_glf,98.961%;O1/O2v2_05_wbbN,98.993%;O1/O2v2_06_wbbO,99.469%;O1/O2v2_07_kfoC,99.007%;O1/O2v2_08_gmlC,97.331%;O1/O2v2_09_gmlB,99.388%;O1/O2v2_10_gmlA,100.0%		0		0 / 10 (0%)		4	O12_01_rfbB,98.31%;OL13_03_rfbD,98.99%;OL13_02_rfbA,98.276%;OL13_04_rfbC,97.838%
Klebsiella_pneumoniae_ATCC_BAA_1706	O1/O2v1	O1ab	Very high		100.00%	99.97%	0 bp	7 / 7 (100%)	O1/O2v1_01_wzm,100.0%;O1/O2v1_02_wzt,100.0%;O1/O2v1_03_wbbM,100.0%;O1/O2v1_04_glf,100.0%;O1/O2v1_05_wbbN,100.0%;O1/O2v1_06_wbbO,100.0%;O1/O2v1_07_kfoC,99.772%		0		0 / 7 (0%)		4	Extra_genes_wbbY_01_wbbY,100.0%;O3b_01_manC,100.0%;O3/O3a_02_manB,98.904%;Extra_genes_wbbZ_01_wbbZ,100.0%
Klebsiella_pneumoniae_ATCC_BAA_1898	O1/O2v2	O2afg	Very high		100.00%	98.47%	0 bp	10 / 10 (100%)	O1/O2v2_01_wzm,100.0%;O1/O2v2_02_wzt,99.19%;O1/O2v2_03_wbbM,98.576%;O1/O2v2_04_glf,99.74%;O1/O2v2_05_wbbN,98.322%;O1/O2v2_06_wbbO,99.204%;O1/O2v2_07_kfoC,99.007%;O1/O2v2_08_gmlC,97.331%;O1/O2v2_09_gmlB,99.388%;O1/O2v2_10_gmlA,100.0%		0		0 / 10 (0%)		0	
Klebsiella_pneumoniae_ATCC_BAA_1899	O1/O2v2	O2afg	Very high		100.00%	98.47%	0 bp	10 / 10 (100%)	O1/O2v2_01_wzm,100.0%;O1/O2v2_02_wzt,99.19%;O1/O2v2_03_wbbM,98.734%;O1/O2v2_04_glf,99.74%;O1/O2v2_05_wbbN,98.322%;O1/O2v2_06_wbbO,98.939%;O1/O2v2_07_kfoC,99.007%;O1/O2v2_08_gmlC,97.331%;O1/O2v2_09_gmlB,99.388%;O1/O2v2_10_gmlA,100.0%		0		0 / 10 (0%)		0	
Klebsiella_pneumoniae_ATCC_BAA_1900	O1/O2v2	O2afg	Very high		100.00%	98.38%	0 bp	10 / 10 (100%)	O1/O2v2_01_wzm,100.0%;O1/O2v2_02_wzt,99.19%;O1/O2v2_03_wbbM,98.576%;O1/O2v2_04_glf,98.961%;O1/O2v2_05_wbbN,98.993%;O1/O2v2_06_wbbO,99.469%;O1/O2v2_07_kfoC,99.007%;O1/O2v2_08_gmlC,97.331%;O1/O2v2_09_gmlB,99.388%;O1/O2v2_10_gmlA,100.0%		0		0 / 10 (0%)		4	O12_01_rfbB,98.31%;OL13_03_rfbD,98.99%;OL13_02_rfbA,98.276%;OL13_04_rfbC,97.838%
Klebsiella_pneumoniae_ATCC_BAA_1902	OL102	unknown (OL102)	None	-*	45.58%	88.02%	+11 bp	4 / 8 (50%)	OL102_01_rfbB,94.857%;OL102_02_rfbA,94.828%;OL102_03_rfbD,93.939%;OL102_04_rfbC,88.649%	OL102_05_wbbL;OL102_06_rhamnan;OL102_07_wzm;OL102_08_wzt	0		0 / 8 (0%)		0	
Klebsiella_pneumoniae_ATCC_BAA_1903	O1/O2v2	O2afg	Very high		100.00%	98.47%	0 bp	10 / 10 (100%)	O1/O2v2_01_wzm,100.0%;O1/O2v2_02_wzt,99.19%;O1/O2v2_03_wbbM,98.734%;O1/O2v2_04_glf,99.74%;O1/O2v2_05_wbbN,98.322%;O1/O2v2_06_wbbO,99.204%;O1/O2v2_07_kfoC,99.007%;O1/O2v2_08_gmlC,97.331%;O1/O2v2_09_gmlB,99.388%;O1/O2v2_10_gmlA,100.0%		0		0 / 10 (0%)		0	
Klebsiella_pneumoniae_ATCC_BAA_1904	O3/O3a	O3/O3a	Very high		100.00%	98.57%	0 bp	8 / 8 (100%)	O3/O3a_01_manC,99.576%;O3/O3a_02_manB,100.0%;O3/O3a_03_wzm,100.0%;O3/O3a_04_wzt,100.0%;O3/O3a_05_wbdD,97.038%;O3/O3a_06_wbdA,99.762%;O3/O3a_07_wbdB,99.738%;O3/O3a_08_wbdC,100.0%		0		0 / 8 (0%)		0	
Klebsiella_pneumoniae_ATCC_BAA_1905	O3b	O3b	Very high		100.00%	99.08%	0 bp	8 / 8 (100%)	O3b_01_manC,99.788%;O3b_02_manB,99.783%;O3b_03_wzm,98.473%;O3b_04_wzt,99.769%;O3b_05_wbdD,99.708%;O3b_06_wbdA,99.643%;O3b_07_wbdB,99.738%;O3b_08_wbdC,100.0%		0		0 / 8 (0%)		0	
Klebsiella_pneumoniae_ATCC_BAA_2146	O3b	O3b	High	*	99.79%	91.71%	-4 bp	8 / 8 (100%)	O3b_01_manC,90.89%;O3b_02_manB,92.408%;O3b_03_wzm,94.275%;O3b_04_wzt,89.352%;O3b_05_wbdD,93.732%;O3b_06_wbdA,99.762%;O3b_07_wbdB,99.215%;O3b_08_wbdC,98.649%		0		0 / 8 (0%)		2	OL104_01_manC,99.576%;OL104_02_manB,98.465%
Klebsiella_pneumoniae_ATCC_BAA_2342	O1/O2v2	O2afg	Very high		100.00%	98.38%	0 bp	10 / 10 (100%)	O1/O2v2_01_wzm,100.0%;O1/O2v2_02_wzt,99.19%;O1/O2v2_03_wbbM,98.576%;O1/O2v2_04_glf,98.961%;O1/O2v2_05_wbbN,98.993%;O1/O2v2_06_wbbO,99.469%;O1/O2v2_07_kfoC,99.007%;O1/O2v2_08_gmlC,97.331%;O1/O2v2_09_gmlB,99.388%;O1/O2v2_10_gmlA,100.0%		0		0 / 10 (0%)		4	O12_01_rfbB,98.31%;OL13_03_rfbD,98.99%;OL13_02_rfbA,98.276%;OL13_04_rfbC,97.838%
Klebsiella_pneumoniae_ATCC_BAA_2343	O1/O2v2	O2afg	Very high		100.00%	98.38%	0 bp	10 / 10 (100%)	O1/O2v2_01_wzm,100.0%;O1/O2v2_02_wzt,99.19%;O1/O2v2_03_wbbM,98.576%;O1/O2v2_04_glf,98.961%;O1/O2v2_05_wbbN,98.993%;O1/O2v2_06_wbbO,99.469%;O1/O2v2_07_kfoC,99.007%;O1/O2v2_08_gmlC,97.331%;O1/O2v2_09_gmlB,99.388%;O1/O2v2_10_gmlA,100.0%		0		0 / 10 (0%)		4	O12_01_rfbB,98.31%;OL13_03_rfbD,98.99%;OL13_02_rfbA,98.276%;OL13_04_rfbC,97.838%
Klebsiella_pneumoniae_ATCC_BAA_2344	O1/O2v2	O2afg	Very high		100.00%	98.48%	0 bp	10 / 10 (100%)	O1/O2v2_01_wzm,100.0%;O1/O2v2_02_wzt,99.19%;O1/O2v2_03_wbbM,98.734%;O1/O2v2_04_glf,99.74%;O1/O2v2_05_wbbN,98.322%;O1/O2v2_06_wbbO,99.204%;O1/O2v2_07_kfoC,99.007%;O1/O2v2_08_gmlC,97.331%;O1/O2v2_09_gmlB,99.388%;O1/O2v2_10_gmlA,100.0%		0		0 / 10 (0%)		0	
Klebsiella_pneumoniae_ATCC_BAA_2473	O1/O2v1	O1ab	High	-	100.00%	99.98%	+1200 bp	6 / 7 (85.7%)	O1/O2v1_01_wzm,100.0%;O1/O2v1_02_wzt,100.0%;O1/O2v1_03_wbbM,100.0%;O1/O2v1_04_glf,100.0%;O1/O2v1_05_wbbN,100.0%;O1/O2v1_07_kfoC,100.0%	O1/O2v1_06_wbbO	0		0 / 7 (0%)		4	Extra_genes_wbbY_01_wbbY,100.0%;O3b_01_manC,99.788%;O3/O3a_02_manB,98.904%;Extra_genes_wbbZ_01_wbbZ,100.0%
Klebsiella_pneumoniae_ATCC_BAA_2782	O1/O2v1	O1ab	High	-	100.00%	97.88%	-13 bp	6 / 7 (85.7%)	O1/O2v1_01_wzm,100.0%;O1/O2v1_02_wzt,99.19%;O1/O2v1_03_wbbM,99.209%;O1/O2v1_04_glf,98.961%;O1/O2v1_05_wbbN,98.658%;O1/O2v1_07_kfoC,96.811%	O1/O2v1_06_wbbO	0		0 / 7 (0%)		6	Extra_genes_wbbY_01_wbbY,99.865%;O12_01_rfbB,98.028%;OL13_03_rfbD,98.653%;OL13_02_rfbA,97.917%;Extra_genes_wbbZ_01_wbbZ,98.889%;O12_04_rfbC,97.297%
Klebsiella_pneumoniae_ATCC_BAA_2783	O3b	O3b	High	-	100.00%	99.07%	+1 bp	7 / 8 (87.5%)	O3b_01_manC,99.788%;O3b_02_manB,99.783%;O3b_03_wzm,98.473%;O3b_04_wzt,99.769%;O3b_05_wbdD,99.708%;O3b_06_wbdA,99.643%;O3b_07_wbdB,99.738%	O3b_08_wbdC	0		0 / 8 (0%)		0	
Klebsiella_pneumoniae_ATCC_BAA_2784	O1/O2v2	O2afg	Very high		100.00%	98.38%	0 bp	10 / 10 (100%)	O1/O2v2_01_wzm,100.0%;O1/O2v2_02_wzt,99.19%;O1/O2v2_03_wbbM,98.576%;O1/O2v2_04_glf,98.961%;O1/O2v2_05_wbbN,98.993%;O1/O2v2_06_wbbO,99.469%;O1/O2v2_07_kfoC,99.007%;O1/O2v2_08_gmlC,97.331%;O1/O2v2_09_gmlB,99.388%;O1/O2v2_10_gmlA,100.0%		0		0 / 10 (0%)		4	O12_01_rfbB,98.31%;OL13_03_rfbD,98.99%;OL13_02_rfbA,98.276%;OL13_04_rfbC,97.838%
Klebsiella_pneumoniae_ATCC_BAA_2785	OL102	unknown (OL102)	None	-	29.42%	73.84%	+4 bp	0 / 8 (0%)		OL102_01_rfbB;OL102_02_rfbA;OL102_03_rfbD;OL102_04_rfbC;OL102_05_wbbL;OL102_06_rhamnan;OL102_07_wzm;OL102_08_wzt	0		0 / 8 (0%)		0	
Klebsiella_pneumoniae_ATCC_BAA_2786	O1/O2v2	O2afg	Very high		100.00%	98.37%	0 bp	10 / 10 (100%)	O1/O2v2_01_wzm,100.0%;O1/O2v2_02_wzt,99.19%;O1/O2v2_03_wbbM,98.576%;O1/O2v2_04_glf,98.961%;O1/O2v2_05_wbbN,98.993%;O1/O2v2_06_wbbO,99.204%;O1/O2v2_07_kfoC,99.007%;O1/O2v2_08_gmlC,97.331%;O1/O2v2_09_gmlB,99.388%;O1/O2v2_10_gmlA,100.0%		0		0 / 10 (0%)		4	O12_01_rfbB,98.31%;OL13_03_rfbD,98.99%;OL13_02_rfbA,98.276%;OL13_04_rfbC,97.838%
Klebsiella_pneumoniae_ATCC_BAA_2787	O1/O2v2	O2afg	Very high		100.00%	98.38%	0 bp	10 / 10 (100%)	O1/O2v2_01_wzm,100.0%;O1/O2v2_02_wzt,99.19%;O1/O2v2_03_wbbM,98.576%;O1/O2v2_04_glf,98.961%;O1/O2v2_05_wbbN,98.993%;O1/O2v2_06_wbbO,99.469%;O1/O2v2_07_kfoC,99.007%;O1/O2v2_08_gmlC,97.331%;O1/O2v2_09_gmlB,99.388%;O1/O2v2_10_gmlA,100.0%		0		0 / 10 (0%)		4	O12_01_rfbB,98.31%;OL13_03_rfbD,98.99%;OL13_02_rfbA,98.276%;OL13_04_rfbC,97.838%
Klebsiella_pneumoniae_ATCC_BAA_2788	O1/O2v2	O2afg	Very high		100.00%	98.48%	0 bp	10 / 10 (100%)	O1/O2v2_01_wzm,100.0%;O1/O2v2_02_wzt,99.19%;O1/O2v2_03_wbbM,98.734%;O1/O2v2_04_glf,99.74%;O1/O2v2_05_wbbN,98.322%;O1/O2v2_06_wbbO,99.204%;O1/O2v2_07_kfoC,99.007%;O1/O2v2_08_gmlC,97.331%;O1/O2v2_09_gmlB,99.388%;O1/O2v2_10_gmlA,100.0%		0		0 / 10 (0%)		0	
