Assembly	Best match locus	Best match type	Match confidence	Problems	Coverage	Identity	Length discrepancy	Expected genes in locus	Expected genes in locus, details	Missing expected genes	Other genes in locus	Other genes in locus, details	Expected genes outside locus	Expected genes outside locus, details	Other genes outside locus	Other genes outside locus, details
Klebsiella_aerogenes_ATCC_51697	KL186	unknown (KL186)	None	-+*	80.95%	75.36%	-49 bp	11 / 21 (52.4%)	KL186_01_galF,93.266%;KL186_03_wzi,91.213%;KL186_04_wza,87.566%;KL186_13_gnd,93.39%;KL186_14_wzx,89.002%;KL186_15_wcuL,86.52%;KL186_17_rmlB,91.549%;KL186_18_rmlA,93.793%;KL186_19_rmlD,90.909%;KL186_20_rmlC,91.892%;KL186_21_ugd,93.573%	KL186_02_cpsACP;KL186_05_wzb;KL186_06_wzc;KL186_07_wbaP;KL186_08_wctK;KL186_09_wcuP;KL186_10_wclJ;KL186_11;KL186_12;KL186_16_wcoW	2	KL36_07_wcaJ,82.353%;KL29_05_wzb,82.877%	0 / 21 (0%)		3	KL47_15_rmlB,92.958%;KL150_19_gmd,86.787%;KL17_17_rmlA,96.897%
Klebsiella_aerogenes_ATCC_BAA_2356	KL68	K68	None	?-+*	91.96%	78.50%	n/a	13 / 18 (72.2%)	KL68_01_galF,90.909%;KL68_03_wzi,92.708%;KL68_04_wza,96.306%;KL68_05_wzb,88.966%;KL68_06_wzc,90.139%;KL68_07_wbap,90.02%;KL68_08_wzx,89.648%;KL68_12_wzy,86.65%;KL68_13_manC,87.104%;KL68_14_manB,82.791%;KL68_15_wbaZ,89.182%;KL68_17_gnd,93.603%;KL68_18,90.09%	KL68_02_cpsACP;KL68_09_wclV;KL68_10_wckX;KL68_11_wckW;KL68_16_wcuC	1	KL145_23_ugd,93.316%	0 / 18 (0%)		2	KL14_19_manC,98.941%;KL7_19_manB,96.919%
Klebsiella_michiganensis_ATCC_15764	KL152	unknown (KL152)	Very high		100.00%	98.26%	+3 bp	21 / 21 (100%)	KL152_01_galF,100.0%;KL152_02_cpsACP,98.095%;KL152_03_wzi,98.542%;KL152_04_wza,99.472%;KL152_05_wzb,100.0%;KL152_06_wzc,99.584%;KL152_07_wcaJ,99.79%;KL152_08,99.529%;KL152_09_tuaG,100.0%;KL152_10,98.596%;KL152_11,98.864%;KL152_12,98.958%;KL152_13_wfgD,99.206%;KL152_14_pglH,99.135%;KL152_15_wzx,99.585%;KL152_16_gnd,99.787%;KL152_17_rmlB,99.437%;KL152_18_rmlA,99.655%;KL152_19_rmlD,98.99%;KL152_20_rmlC,100.0%;KL152_21_ugd,99.229%		0		0 / 21 (0%)		2	KL40_05_rfaG,82.368%;KL150_19_gmd,85.886%
Klebsiella_michiganensis_ATCC_43086	KL103	unknown (KL103)	None	-+*	92.98%	75.75%	+1359 bp	11 / 21 (52.4%)	KL103_01_galF,92.308%;KL103_03_wzi,89.54%;KL103_04_wza,95.789%;KL103_05_wzb,82.069%;KL103_06_wzc,88.178%;KL103_16_gnd,98.081%;KL103_17_rmlB,94.085%;KL103_18_rmlA,92.759%;KL103_19_rmlD,90.236%;KL103_20_rmlC,92.432%;KL103_21_ugd,96.401%	KL103_02_cpsACP;KL103_07_wbaP;KL103_08_wcaA;KL103_09;KL103_10;KL103_11_wcaN;KL103_12_wzy;KL103_13_wcpL;KL103_14_wcuT;KL103_15_wzx	1	KL26_02_cpsACP,93.103%	0 / 21 (0%)		2	KL40_05_rfaG,82.368%;KL150_19_gmd,86.186%
Klebsiella_michiganensis_ATCC_BAA_2403	KL152	unknown (KL152)	None	?-*	88.11%	81.69%	n/a	16 / 21 (76.2%)	KL152_01_galF,95.946%;KL152_02_cpsACP,87.143%;KL152_03_wzi,93.125%;KL152_04_wza,92.838%;KL152_05_wzb,91.034%;KL152_06_wzc,88.028%;KL152_07_wcaJ,88.235%;KL152_12,81.597%;KL152_14_pglH,80.98%;KL152_15_wzx,85.983%;KL152_16_gnd,98.507%;KL152_17_rmlB,96.338%;KL152_18_rmlA,94.7%;KL152_19_rmlD,92.256%;KL152_20_rmlC,93.514%;KL152_21_ugd,98.201%	KL152_08;KL152_09_tuaG;KL152_10;KL152_11;KL152_13_wfgD	0		0 / 21 (0%)		2	KL40_05_rfaG,82.632%;KL150_19_gmd,85.629%
Klebsiella_oxytoca_ATCC_13030	KL161	unknown (KL161)	None	-+*	75.63%	76.71%	+783 bp	11 / 18 (61.1%)	KL161_01_galF,93.98%;KL161_03_wzi,91.004%;KL161_04_wza,89.39%;KL161_05_wzb,81.69%;KL161_06_wzc,86.269%;KL161_07_wcaJ,85.084%;KL161_09_rmlB,84.225%;KL161_10_rmlA,96.207%;KL161_11_rmlC,85.475%;KL161_17_gnd,95.522%;KL161_18_ugd,93.059%	KL161_02_cpsACP;KL161_08;KL161_12_rmlD;KL161_13_wcuP;KL161_14;KL161_15;KL161_16_wzx	1	KL26_02_cpsACP,99.138%	0 / 18 (0%)		2	KL40_05_rfaG,82.632%;KL150_19_gmd,84.776%
Klebsiella_oxytoca_ATCC_13182	KL29	K29	Good	+*	99.22%	93.25%	-235 bp	17 / 17 (100%)	KL29_01_galF,98.007%;KL29_02_cpsACP,90.517%;KL29_03_wzi,96.875%;KL29_04_wza,99.472%;KL29_05_wzb,100.0%;KL29_06_wzc,98.611%;KL29_07_wbaP,98.333%;KL29_08_wcuD,95.584%;KL29_09_wcuE,96.657%;KL29_10_wbaZ,93.717%;KL29_11_wckG,96.104%;KL29_12_wckH,96.296%;KL29_13_wzx,97.03%;KL29_14_glf,97.808%;KL29_15_gnd,99.147%;KL29_16_manC,98.941%;KL29_17_manB,98.687%		1	KL74_19_ugd,100.0%	0 / 17 (0%)		4	KL50_10,89.623%;KL169_16_manC,100.0%;KL169_17_manB,98.022%;KL150_19_gmd,85.075%
Klebsiella_oxytoca_ATCC_13183	KL55	K55	None	?-+*	83.34%	73.77%	n/a	9 / 20 (45%)	KL55_01_galF,91.639%;KL55_03_wzi,89.167%;KL55_04_wza,92.632%;KL55_15_gnd,97.655%;KL55_16_rmlB,94.648%;KL55_17_rmlA,93.103%;KL55_18_rmlD,88.552%;KL55_19_rmlC,90.811%;KL55_20_ugd,95.63%	KL55_02_cpsACP;KL55_05_wzb;KL55_06_wzc;KL55_07_wcaA;KL55_08_wcaJ;KL55_09_wcpH;KL55_10_wcpI;KL55_11_wzy;KL55_12_wcpJ;KL55_13_wzx;KL55_14	4	KL180_06_wzc,82.711%;KL109_07,84.33%;KL26_02_cpsACP,91.81%;KL65_05_wzb,83.562%	0 / 20 (0%)		3	KL74_17_manC,100.0%;KL169_17_manB,98.026%;KL150_19_gmd,84.776%
Klebsiella_oxytoca_ATCC_33496	KL29	K29	Good	?-+*	98.13%	86.66%	n/a	15 / 17 (88.2%)	KL29_01_galF,98.007%;KL29_02_cpsACP,90.948%;KL29_03_wzi,96.667%;KL29_04_wza,91.799%;KL29_05_wzb,86.301%;KL29_06_wzc,87.639%;KL29_07_wbaP,86.583%;KL29_10_wbaZ,93.717%;KL29_11_wckG,96.104%;KL29_12_wckH,96.296%;KL29_13_wzx,97.03%;KL29_14_glf,97.808%;KL29_15_gnd,99.147%;KL29_16_manC,98.941%;KL29_17_manB,98.687%	KL29_08_wcuD;KL29_09_wcuE	1	KL74_19_ugd,100.0%	0 / 17 (0%)		4	KL50_10,89.811%;KL74_17_manC,100.0%;KL169_17_manB,98.242%;KL150_19_gmd,85.075%
Klebsiella_oxytoca_ATCC_35600	KL68	K68	Low	?+*	93.20%	85.86%	n/a	18 / 18 (100%)	KL68_01_galF,90.764%;KL68_02_cpsACP,80.952%;KL68_03_wzi,91.042%;KL68_04_wza,93.668%;KL68_05_wzb,93.793%;KL68_06_wzc,90.972%;KL68_07_wbap,89.662%;KL68_08_wzx,92.133%;KL68_09_wclV,89.045%;KL68_10_wckX,88.448%;KL68_11_wckW,83.511%;KL68_12_wzy,90.58%;KL68_13_manC,94.926%;KL68_14_manB,93.9%;KL68_15_wbaZ,93.668%;KL68_16_wcuC,86.575%;KL68_17_gnd,98.081%;KL68_18,94.611%		1	KL74_19_ugd,100.0%	0 / 18 (0%)		3	KL74_17_manC,99.788%;KL169_17_manB,98.022%;KL150_19_gmd,85.075%
Klebsiella_oxytoca_ATCC_43165	KL74	K74	Very high		100.00%	99.48%	-1 bp	19 / 19 (100%)	KL74_01_galF,99.668%;KL74_02_cpsACP,99.524%;KL74_03_wzi,99.792%;KL74_04_wza,99.736%;KL74_05_wzb,100.0%;KL74_06_wzc,99.861%;KL74_07_wbaP,100.0%;KL74_08_wcuD,99.235%;KL74_09_wcuE,100.0%;KL74_10_wbaZ,99.745%;KL74_11_wzy,100.0%;KL74_12,100.0%;KL74_13_wzx,100.0%;KL74_14_wcuL,100.0%;KL74_15_wcoW,99.394%;KL74_16_gnd,100.0%;KL74_17_manC,99.788%;KL74_18_manB,100.0%;KL74_19_ugd,100.0%		0		0 / 19 (0%)		3	KL50_10,89.811%;KL169_17_manB,98.242%;KL150_19_gmd,85.075%
Klebsiella_oxytoca_ATCC_43863	KL152	unknown (KL152)	None	-*	87.52%	81.78%	+514 bp	14 / 21 (66.7%)	KL152_01_galF,95.946%;KL152_02_cpsACP,87.143%;KL152_03_wzi,93.125%;KL152_04_wza,92.838%;KL152_05_wzb,91.034%;KL152_06_wzc,87.95%;KL152_12,81.597%;KL152_14_pglH,80.98%;KL152_16_gnd,98.507%;KL152_17_rmlB,96.338%;KL152_18_rmlA,94.7%;KL152_19_rmlD,92.256%;KL152_20_rmlC,93.514%;KL152_21_ugd,98.201%	KL152_07_wcaJ;KL152_08;KL152_09_tuaG;KL152_10;KL152_11;KL152_13_wfgD;KL152_15_wzx	0		0 / 21 (0%)		2	KL40_05_rfaG,82.632%;KL150_19_gmd,85.629%
Klebsiella_oxytoca_ATCC_49131	KL50	K50	None	?-+*	90.23%	80.34%	n/a	7 / 10 (70%)	KL50_01_galF,91.973%;KL50_03_wzi,87.5%;KL50_04_wza,92.308%;KL50_05_wbaZ,88.542%;KL50_06_wbaP,89.308%;KL50_08_wcuH,84.043%;KL50_10,89.811%	KL50_02_cpsACP;KL50_07_wcuU;KL50_09_wzx	8	KL21_06_wzc,82.296%;KL169_16_manC,100.0%;KL65_19_gnd,98.75%;KL169_17_manB,98.022%;KL74_19_ugd,99.743%;KL150_19_gmd,85.075%;KL26_02_cpsACP,91.81%;KL152_05_wzb,81.69%	0 / 10 (0%)		0	
Klebsiella_oxytoca_ATCC_51817	KL68	K68	Low	?+*	93.20%	85.86%	n/a	18 / 18 (100%)	KL68_01_galF,91.083%;KL68_02_cpsACP,81.429%;KL68_03_wzi,91.042%;KL68_04_wza,93.668%;KL68_05_wzb,93.793%;KL68_06_wzc,90.972%;KL68_07_wbap,89.662%;KL68_08_wzx,92.133%;KL68_09_wclV,89.045%;KL68_10_wckX,88.448%;KL68_11_wckW,83.511%;KL68_12_wzy,90.58%;KL68_13_manC,94.926%;KL68_14_manB,93.9%;KL68_15_wbaZ,93.668%;KL68_16_wcuC,86.575%;KL68_17_gnd,98.081%;KL68_18,94.611%		1	KL74_19_ugd,100.0%	0 / 18 (0%)		3	KL74_17_manC,99.788%;KL169_17_manB,98.022%;KL150_19_gmd,85.075%
Klebsiella_oxytoca_ATCC_51983	KL55	K55	None	?-+*	82.73%	73.87%	n/a	9 / 20 (45%)	KL55_01_galF,91.973%;KL55_03_wzi,89.167%;KL55_04_wza,92.632%;KL55_15_gnd,97.868%;KL55_16_rmlB,94.648%;KL55_17_rmlA,93.103%;KL55_18_rmlD,88.552%;KL55_19_rmlC,91.351%;KL55_20_ugd,96.144%	KL55_02_cpsACP;KL55_05_wzb;KL55_06_wzc;KL55_07_wcaA;KL55_08_wcaJ;KL55_09_wcpH;KL55_10_wcpI;KL55_11_wzy;KL55_12_wcpJ;KL55_13_wzx;KL55_14	4	KL180_06_wzc,82.711%;KL109_07,84.33%;KL26_02_cpsACP,91.81%;KL65_05_wzb,84.247%	0 / 20 (0%)		3	KL169_16_manC,100.0%;KL169_17_manB,97.802%;KL150_19_gmd,85.075%
Klebsiella_oxytoca_ATCC_700324	KL74	K74	Very high		100.00%	99.52%	-1 bp	19 / 19 (100%)	KL74_01_galF,99.668%;KL74_02_cpsACP,100.0%;KL74_03_wzi,99.792%;KL74_04_wza,99.736%;KL74_05_wzb,100.0%;KL74_06_wzc,99.723%;KL74_07_wbaP,100.0%;KL74_08_wcuD,99.235%;KL74_09_wcuE,100.0%;KL74_10_wbaZ,99.745%;KL74_11_wzy,100.0%;KL74_12,100.0%;KL74_13_wzx,100.0%;KL74_14_wcuL,100.0%;KL74_15_wcoW,99.697%;KL74_16_gnd,100.0%;KL74_17_manC,99.788%;KL74_18_manB,100.0%;KL74_19_ugd,99.743%		0		0 / 19 (0%)		4	KL50_10,90.0%;KL74_17_manC,99.788%;KL169_17_manB,97.802%;KL150_19_gmd,85.075%
Klebsiella_oxytoca_ATCC_8724	KL152	unknown (KL152)	Very high		100.00%	98.27%	+3 bp	21 / 21 (100%)	KL152_01_galF,99.666%;KL152_02_cpsACP,98.095%;KL152_03_wzi,98.333%;KL152_04_wza,99.472%;KL152_05_wzb,100.0%;KL152_06_wzc,99.584%;KL152_07_wcaJ,100.0%;KL152_08,99.529%;KL152_09_tuaG,100.0%;KL152_10,98.596%;KL152_11,98.58%;KL152_12,98.958%;KL152_13_wfgD,99.206%;KL152_14_pglH,99.424%;KL152_15_wzx,99.585%;KL152_16_gnd,100.0%;KL152_17_rmlB,99.718%;KL152_18_rmlA,99.655%;KL152_19_rmlD,98.99%;KL152_20_rmlC,100.0%;KL152_21_ugd,99.229%		0		0 / 21 (0%)		2	KL40_05_rfaG,82.368%;KL150_19_gmd,85.886%
Klebsiella_oxytoca_ATCC_BAA_2572	KL68	K68	Low	?+*	93.20%	85.81%	n/a	18 / 18 (100%)	KL68_01_galF,91.083%;KL68_02_cpsACP,81.429%;KL68_03_wzi,91.042%;KL68_04_wza,93.668%;KL68_05_wzb,93.793%;KL68_06_wzc,90.833%;KL68_07_wbap,89.463%;KL68_08_wzx,92.133%;KL68_09_wclV,89.326%;KL68_10_wckX,88.087%;KL68_11_wckW,83.245%;KL68_12_wzy,90.58%;KL68_13_manC,94.926%;KL68_14_manB,94.336%;KL68_15_wbaZ,93.404%;KL68_16_wcuC,86.575%;KL68_17_gnd,98.294%;KL68_18,94.311%		1	KL74_19_ugd,100.0%	0 / 18 (0%)		3	KL169_16_manC,99.788%;KL169_17_manB,98.026%;KL150_19_gmd,85.075%
Klebsiella_oxytoca_ATCC_BAA_3059	KL68	K68	Low	?-+*	93.06%	87.64%	n/a	17 / 18 (94.4%)	KL68_01_galF,90.127%;KL68_03_wzi,90.0%;KL68_04_wza,94.195%;KL68_05_wzb,93.793%;KL68_06_wzc,90.833%;KL68_07_wbap,94.422%;KL68_08_wzx,94.824%;KL68_09_wclV,88.764%;KL68_10_wckX,88.652%;KL68_11_wckW,92.533%;KL68_12_wzy,92.512%;KL68_13_manC,95.349%;KL68_14_manB,93.028%;KL68_15_wbaZ,95.251%;KL68_16_wcuC,87.234%;KL68_17_gnd,97.655%;KL68_18,95.107%	KL68_02_cpsACP	2	KL186_21_ugd,99.229%;KL26_02_cpsACP,93.103%	0 / 18 (0%)		2	KL40_05_rfaG,82.632%;KL150_19_gmd,85.886%
Klebsiella_pneumoniae_ATCC_4352	KL2	K2	Very high		100.00%	99.95%	+1 bp	18 / 18 (100%)	KL2_01_galF,100.0%;KL2_02_cpsACP,100.0%;KL2_03_wzi,100.0%;KL2_04_wza,100.0%;KL2_05_wzb,100.0%;KL2_06_wzc,100.0%;KL2_07,100.0%;KL2_08,100.0%;KL2_09,100.0%;KL2_10,100.0%;KL2_11_wzx,100.0%;KL2_12,99.483%;KL2_13,100.0%;KL2_14_wcaJ,99.785%;KL2_15_gnd,99.574%;KL2_16_manC,100.0%;KL2_17_manB,100.0%;KL2_18_ugd,100.0%		0		0 / 18 (0%)		2	KL40_05_rfaG,98.158%;KL150_19_gmd,99.701%
Klebsiella_pneumoniae_ATCC_BAA_1144	KL25	K25	High	-	99.99%	98.25%	+4 bp	13 / 14 (92.9%)	KL25_01_galF,100.0%;KL25_02_cpsACP,100.0%;KL25_03_wzi,100.0%;KL25_04_wza,99.736%;KL25_05_wzb,100.0%;KL25_06_wzc,99.861%;KL25_07_wcaJ,99.785%;KL25_08_wzy,99.737%;KL25_10,99.733%;KL25_11_wcuB,99.681%;KL25_12_wzx,99.766%;KL25_13_gnd,98.929%;KL25_14_ugd,99.486%	KL25_09_wfeD	0		0 / 14 (0%)		3	KL1_18_manC,99.576%;KL30_19_manB,98.929%;KL150_19_gmd,99.701%
Klebsiella_pneumoniae_ATCC_BAA_1705	KL107	unknown (KL107)	Very high		99.99%	100.00%	0 bp	16 / 16 (100%)	KL107_01_galF,100.0%;KL107_02_cpsACP,100.0%;KL107_03_wzi,100.0%;KL107_04_wza,100.0%;KL107_05_wzb,100.0%;KL107_06_wzc,100.0%;KL107_07_wbaP,100.0%;KL107_08,100.0%;KL107_09,100.0%;KL107_10,100.0%;KL107_11_gnd,100.0%;KL107_12,100.0%;KL107_13,100.0%;KL107_14,100.0%;KL107_15,100.0%;KL107_16_ugd,100.0%		0		0 / 16 (0%)		5	KL40_03_wcpO,99.19%;KL40_04,99.504%;KL40_05_rfaG,99.738%;KL150_19_gmd,99.104%;KL150_19_gmd,84.923%
Klebsiella_pneumoniae_ATCC_BAA_1706	KL2	K2	Very high		100.00%	99.74%	+1 bp	18 / 18 (100%)	KL2_01_galF,100.0%;KL2_02_cpsACP,100.0%;KL2_03_wzi,100.0%;KL2_04_wza,100.0%;KL2_05_wzb,100.0%;KL2_06_wzc,99.585%;KL2_07,99.721%;KL2_08,100.0%;KL2_09,99.743%;KL2_10,100.0%;KL2_11_wzx,99.588%;KL2_12,99.31%;KL2_13,99.552%;KL2_14_wcaJ,99.785%;KL2_15_gnd,99.574%;KL2_16_manC,100.0%;KL2_17_manB,100.0%;KL2_18_ugd,99.743%		0		0 / 18 (0%)		2	KL40_05_rfaG,97.895%;KL150_19_gmd,100.0%
Klebsiella_pneumoniae_ATCC_BAA_1898	KL106	unknown (KL106)	Good	?	99.11%	99.98%	n/a	18 / 18 (100%)	KL106_01_galF,100.0%;KL106_02_cpsACP,100.0%;KL106_03_wzi,100.0%;KL106_04_wza,100.0%;KL106_05_wzb,100.0%;KL106_06_wzc,100.0%;KL106_07_wzy,100.0%;KL106_08,100.0%;KL106_09,100.0%;KL106_10_wecB,100.0%;KL106_11_wzx,100.0%;KL106_12,100.0%;KL106_13_wzx,100.0%;KL106_14,100.0%;KL106_15_rfbp,100.0%;KL106_16_gnd,100.0%;KL106_17,100.0%;KL106_18_ugd,100.0%		0		0 / 18 (0%)		4	KL40_03_wcpO,99.19%;KL40_04,99.504%;KL40_05_rfaG,98.95%;KL150_19_gmd,98.507%
Klebsiella_pneumoniae_ATCC_BAA_1899	KL106	unknown (KL106)	Good	?	99.11%	99.98%	n/a	18 / 18 (100%)	KL106_01_galF,100.0%;KL106_02_cpsACP,100.0%;KL106_03_wzi,100.0%;KL106_04_wza,100.0%;KL106_05_wzb,100.0%;KL106_06_wzc,100.0%;KL106_07_wzy,100.0%;KL106_08,100.0%;KL106_09,100.0%;KL106_10_wecB,100.0%;KL106_11_wzx,100.0%;KL106_12,100.0%;KL106_13_wzx,100.0%;KL106_14,100.0%;KL106_15_rfbp,100.0%;KL106_16_gnd,100.0%;KL106_17,100.0%;KL106_18_ugd,100.0%		0		0 / 18 (0%)		4	KL40_03_wcpO,99.19%;KL40_04,99.504%;KL40_05_rfaG,98.688%;KL150_19_gmd,98.507%
