strain	species	species_match	contig_count	N50	largest_contig	total_size	ambiguous_bases	QC_warnings	ST	virulence_score	resistance_score	num_resistance_classes	num_resistance_genes	Yersiniabactin	YbST	Colibactin	CbST	Aerobactin	AbST	Salmochelin	SmST	RmpADC	RmST	rmpA2	wzi	K_locus	K_type	K_locus_problems	K_locus_confidence	K_locus_identity	K_locus_missing_genes	O_locus	O_type	O_locus_problems	O_locus_confidence	O_locus_identity	O_locus_missing_genes	AGly_acquired	Col_acquired	Fcyn_acquired	Flq_acquired	Gly_acquired	MLS_acquired	Phe_acquired	Rif_acquired	Sul_acquired	Tet_acquired	Tgc_acquired	Tmt_acquired	Bla_acquired	Bla_inhR_acquired	Bla_ESBL_acquired	Bla_ESBL_inhR_acquired	Bla_Carb_acquired	Bla_chr	SHV_mutations	Omp_mutations	Col_mutations	Flq_mutations	truncated_resistance_hits	spurious_resistance_hits	Chr_ST	gapA	infB	mdh	pgi	phoE	rpoB	tonB	ybtS	ybtX	ybtQ	ybtP	ybtA	irp2	irp1	ybtU	ybtT	ybtE	fyuA	clbA	clbB	clbC	clbD	clbE	clbF	clbG	clbH	clbI	clbL	clbM	clbN	clbO	clbP	clbQ	iucA	iucB	iucC	iucD	iutA	iroB	iroC	iroD	iroN	rmpA	rmpD	rmpC	spurious_virulence_hits
Klebsiella_aerogenes_ATCC_51697	Klebsiella aerogenes	strong	2	5297980	5297980	5306808	no	-	NA	2	0	0	0	ybt 17; ICEKp10	239-1LV	clb 3	12-2LV	-	0	iro unknown	0	-	0	-	-	unknown (KL186)	unknown (KL186)	-+*	None	75.36%	KL186_02_cpsACP,KL186_05_wzb,KL186_06_wzc,KL186_07_wbaP,KL186_08_wctK,KL186_09_wcuP,KL186_10_wclJ,KL186_11,KL186_12,KL186_16_wcoW	unknown (OL102)	unknown (OL102)	-*	None	83.00%	OL102_05_wbbL,OL102_06_rhamnan,OL102_07_wzm,OL102_08_wzt	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	NA	-	-	-	-	-	-	-	6	15	159	4	11	28	26	2	11	4	2	2	59	17	2	2	2	2	8	2	2	2	2	2	2	2	-	-	-	-	-	25*	33*-0%	-	15*	-	-	-	-
Klebsiella_aerogenes_ATCC_BAA_2356	Klebsiella aerogenes	strong	1	5118626	5118626	5118626	no	-	NA	0	0	0	0	-	0	-	0	-	0	iro unknown	0	-	0	-	-	unknown (KL68)	unknown (K68)	?-+*	None	78.50%	KL68_02_cpsACP,KL68_09_wclV,KL68_10_wckX,KL68_11_wckW,KL68_16_wcuC	O5	O5	*	High	93.55%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	NA	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	25*	33*-0%	-	15*	-	-	-	-
Klebsiella_michiganensis_ATCC_15764	Klebsiella michiganensis	strong	21	6071153	6071153	6510185	no	-	NA	1	1	2	4	ybt unknown	0	-	0	-	0	-	0	-	0	-	-	KL152	unknown (KL152)	none	Very high	98.26%		O1/O2v1	O2a	-+*	Good	72.12%	O1/O2v1_03_wbbM,O1/O2v1_05_wbbN,O1/O2v1_07_kfoC	aph(3')-Ia*?;strA.v1;strB.v1	-	-	-	-	-	-	-	-	-	-	-	-	-	OXY-1-3*	-	-	-	-	-	-	-	-	-	NA	-	-	-	-	-	-	-	117*	138*	178*	49*	100*	221*	533*	111*	102*	130*	262*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_michiganensis_ATCC_43086	Klebsiella michiganensis	strong	8	5803988	5803988	5977557	no	-	NA	1	1	1	1	ybt unknown	0	-	0	-	0	-	0	-	0	-	-	unknown (KL103)	unknown (KL103)	-+*	None	75.75%	KL103_02_cpsACP,KL103_07_wbaP,KL103_08_wcaA,KL103_09,KL103_10,KL103_11_wcaN,KL103_12_wzy,KL103_13_wcpL,KL103_14_wcuT,KL103_15_wzx	O1/O2v1	O1ab	-+*	Good	72.31%	O1/O2v1_03_wbbM,O1/O2v1_05_wbbN,O1/O2v1_07_kfoC	-	-	-	-	-	-	-	-	-	-	-	-	-	-	OXY-1-2^	-	-	-	-	-	-	-	-	aph3-Ia.v1*?-0%	NA	-	-	-	-	-	-	-	117*	138*	178*	49*	100*	221*	533*	111*	102*	130*	262*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_michiganensis_ATCC_BAA_2403	Klebsiella michiganensis	strong	4	5912455	5912455	6171885	no	-	NA	1	1	1	1	ybt unknown	0	-	0	-	0	-	0	-	0	-	-	unknown (KL152)	unknown (KL152)	?-*	None	81.69%	KL152_08,KL152_09_tuaG,KL152_10,KL152_11,KL152_13_wfgD	O1/O2v1	O1ab	-+*	Good	72.26%	O1/O2v1_03_wbbM,O1/O2v1_05_wbbN,O1/O2v1_07_kfoC	-	-	-	-	-	-	-	-	-	-	-	-	-	-	OXY-1-1*	-	-	-	-	-	-	-	-	-	NA	-	-	-	-	-	-	-	117*	138*	178*	49*	100*	221*	533*	111*	102*	130*	262*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_oxytoca_ATCC_13030	Klebsiella grimontii	strong	9	5453753	5453753	5743501	no	-	NA	0	1	1	1	-	0	-	0	-	0	-	0	-	0	-	-	unknown (KL161)	unknown (KL161)	-+*	None	76.71%	KL161_02_cpsACP,KL161_08,KL161_12_rmlD,KL161_13_wcuP,KL161_14,KL161_15,KL161_16_wzx	O1/O2v1	O1ab	-+*	Good	72.25%	O1/O2v1_03_wbbM,O1/O2v1_05_wbbN,O1/O2v1_07_kfoC	-	-	-	-	-	-	-	-	-	-	-	-	-	-	OXY-6-2*	-	-	-	-	-	-	-	-	-	NA	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_oxytoca_ATCC_13182	Klebsiella oxytoca	strong	1	5856480	5856480	5856480	no	-	NA	1	1	1	1	ybt unknown	0	-	0	-	0	-	0	-	0	-	-	KL29	K29	+*	Good	93.25%		OL104	unknown (OL104)	none	Very high	99.00%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	OXY-2-2	-	-	-	-	-	-	-	-	-	NA	-	-	-	-	-	-	-	2*	25*	178*	148*	42*	161*	533*	39*	57*-0%	130*	262*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_oxytoca_ATCC_13183	Klebsiella oxytoca	strong	2	5777394	5777394	5977972	no	-	NA	1	1	1	1	ybt unknown	0	-	0	-	0	-	0	-	0	-	-	unknown (KL55)	unknown (K55)	?-+*	None	73.77%	KL55_02_cpsACP,KL55_05_wzb,KL55_06_wzc,KL55_07_wcaA,KL55_08_wcaJ,KL55_09_wcpH,KL55_10_wcpI,KL55_11_wzy,KL55_12_wcpJ,KL55_13_wzx,KL55_14	O5	O5	*	High	81.56%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	OXY-2-5.v1	-	-	-	-	-	-	-	-	-	NA	-	-	-	-	-	-	-	2*	25*	178*	148*	42*	161*	533*	39*	57*-0%	130*	262*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_oxytoca_ATCC_33496	Klebsiella oxytoca	strong	1	5857989	5857989	5857989	no	-	NA	1	1	1	1	ybt unknown	0	-	0	-	0	-	0	-	0	-	wzi531	KL29	K29	?-+*	Good	86.66%	KL29_08_wcuD,KL29_09_wcuE	OL104	unknown (OL104)	none	Very high	99.23%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	OXY-2-1	-	-	-	-	-	-	-	-	-	NA	-	-	-	-	-	-	-	2*	25*	178*	148*	42*	161*	533*	39*	57*-0%	130*	262*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_oxytoca_ATCC_35600	Klebsiella oxytoca	strong	1	5956679	5956679	5956679	no	-	NA	1	1	1	1	ybt unknown	0	-	0	-	0	-	0	-	0	-	-	unknown (KL68)	unknown (K68)	?+*	Low	85.86%		O3/O3a	O3/O3a	*	High	90.38%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	OXY-2-7	-	-	-	-	-	-	-	-	-	NA	-	-	-	-	-	-	-	2*	25*	178*	148*	42*	161*	533*	39*	57*-0%	124*-0%	262*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_oxytoca_ATCC_43165	Klebsiella oxytoca	strong	14	5650752	5650752	5855707	no	-	NA	1	1	1	1	ybt unknown	0	-	0	-	0	-	0	-	0	-	wzi531	KL74	K74	none	Very high	99.48%		OL104	unknown (OL104)	none	Very high	99.05%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	OXY-2-8*	-	-	-	-	-	-	-	-	-	NA	-	-	-	-	-	-	-	2*	25*	178*	71*	42*	161*	533*	39*	57*-0%	130*	262*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_oxytoca_ATCC_43863	Klebsiella michiganensis	strong	2	5964359	5964359	5970025	no	-	NA	1	1	2	2	ybt unknown	0	-	0	-	0	-	0	-	0	-	-	unknown (KL152)	unknown (KL152)	-*	None	81.78%	KL152_07_wcaJ,KL152_08,KL152_09_tuaG,KL152_10,KL152_11,KL152_13_wfgD,KL152_15_wzx	O1/O2v1	O1ab	?-+*	Good	72.19%	O1/O2v1_03_wbbM,O1/O2v1_05_wbbN,O1/O2v1_07_kfoC	aph(3')-Ia*?	-	-	-	-	-	-	-	-	-	-	-	-	-	OXY-1-2	-	-	-	-	-	-	-	-	-	NA	-	-	-	-	-	-	-	117*	138*	178*	49*	100*	221*	-	-	-	-	262*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	irp1_533*-65%;ybtE_130*-0%
Klebsiella_oxytoca_ATCC_49131	Klebsiella oxytoca	strong	1	5864658	5864658	5864658	no	-	NA	1	1	1	1	ybt unknown	0	-	0	-	0	-	0	-	0	-	-	unknown (KL50)	unknown (K50)	?-+*	None	80.34%	KL50_02_cpsACP,KL50_07_wcuU,KL50_09_wzx	OL104	unknown (OL104)	none	Very high	99.13%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	OXY-2-1	-	-	-	-	-	-	-	-	-	NA	-	-	-	-	-	-	-	2*	21*	178*	148*	42*	161*	533*	39*	57*-0%	130*	262*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_oxytoca_ATCC_51817	Klebsiella oxytoca	strong	1	5905396	5905396	5905396	no	-	NA	1	1	1	1	ybt unknown	0	-	0	-	0	-	0	-	0	-	-	unknown (KL68)	unknown (K68)	?+*	Low	85.86%		O3/O3a	O3/O3a	*	High	90.39%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	OXY-2-2*	-	-	-	-	-	-	-	-	-	NA	-	-	-	-	-	-	-	2*	25*	178*	148*	42*	161*	533*	39*	57*-0%	124*-0%	262*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_oxytoca_ATCC_51983	Klebsiella oxytoca	strong	8	5783196	5783196	6176456	no	-	NA	1	1	5	9	ybt unknown	0	-	0	-	0	-	0	-	0	-	-	unknown (KL55)	unknown (K55)	?-+*	None	73.87%	KL55_02_cpsACP,KL55_05_wzb,KL55_06_wzc,KL55_07_wcaA,KL55_08_wcaJ,KL55_09_wcpH,KL55_10_wcpI,KL55_11_wzy,KL55_12_wcpJ,KL55_13_wzx,KL55_14	O3/O3a	O3/O3a	*	High	90.36%		aac(3)-Ia*;aac(6')-Ib7;aadA;aadA1.v1^	-	-	-	-	-	-	-	sul1	tet(A).v1	-	dfrA1.v2	-	-	OXY-2-8;SHV-5	-	-	-	238S;240K	-	-	-	-	-	NA	-	-	-	-	-	-	-	2*	25*	178*	148*	42*	161*	533*	39*	57*-0%	130*	262*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_oxytoca_ATCC_700324	Klebsiella oxytoca	strong	3	5770108	5770108	5917395	no	-	NA	1	1	1	1	ybt unknown	0	-	0	-	0	-	0	-	0	-	wzi531	KL74	K74	none	Very high	99.52%		OL104	unknown (OL104)	none	Very high	99.04%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	OXY-2-8	-	-	-	-	-	-	-	-	-	NA	-	-	-	-	-	-	-	2*	25*	178*	148*	42*	161*	533*	39*	57*-0%	130*	262*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_oxytoca_ATCC_8724	Klebsiella michiganensis	strong	2	5975901	5975901	6162545	no	-	NA	1	1	2	2	ybt unknown	0	-	0	-	0	-	0	-	0	-	-	KL152	unknown (KL152)	none	Very high	98.27%		O1/O2v1	O2a	-+*	Good	72.14%	O1/O2v1_03_wbbM,O1/O2v1_05_wbbN,O1/O2v1_07_kfoC	aph3-Ia.v1*?	-	-	-	-	-	-	-	-	-	-	-	-	-	OXY-1-1	-	-	-	-	-	-	-	-	-	NA	-	-	-	-	-	-	-	117*	138*	178*	49*	100*	221*	533*	111*	102*	130*	262*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_oxytoca_ATCC_BAA_2572	Klebsiella oxytoca	strong	5	6047909	6047909	6296676	no	-	NA	1	1	3	4	ybt unknown	0	-	0	-	0	-	0	-	0	-	-	unknown (KL68)	unknown (K68)	?+*	Low	85.81%		O5	O5	*	High	81.65%		-	-	-	-	-	-	-	-	sul1	tet(A).v1	-	-	-	-	OXY-2-2*;TEM-3	-	-	-	-	-	-	-	aac(6')-Ib7*-28%	-	NA	-	-	-	-	-	-	-	2*	25*	178*	148*	42*	161*	533*	39*	14*-0%	124*-0%	262*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_oxytoca_ATCC_BAA_3059	Klebsiella michiganensis	strong	5	5937112	5937112	6602842	no	-	NA	0	1	6	18	-	0	-	0	-	0	-	0	-	0	-	-	unknown (KL68)	unknown (K68)	?-+*	Low	87.64%	KL68_02_cpsACP	unknown (O1/O2v1)	unknown (O1ab)	?-+*	Low	73.12%	O1/O2v1_03_wbbM,O1/O2v1_05_wbbN,O1/O2v1_07_kfoC	aac(6')-Ib'.v2*;aac(6')-Ib-cr.v2^;aadA2;armA	-	-	-	-	mphA;mphE.v2;msrE	catB3.v2	-	sul1;sul1;sul1;sul2	-	-	-	CMY-10;OXA-1*;OXA-1*;TEM-1D.v1^	-	CTX-M-3;OXY-1-4*	-	-	-	-	-	-	-	-	-	NA	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_pneumoniae_ATCC_4352	Klebsiella pneumoniae	strong	1	5246056	5246056	5246056	no	-	ST86	1	0	1	0	ybt 9; ICEKp3	217-1LV	-	0	-	0	-	0	-	0	-	wzi2	KL2	K2	none	Very high	99.95%		O1/O2v1	O2a	none	Very high	98.46%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-1^	-	-	MgrB-49%	-	-	-	ST86	9	4	2	1	1	1	27	5	5	6	5	1	9	218	9	5	5	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_pneumoniae_ATCC_BAA_1144	Klebsiella pneumoniae	strong	6	5374692	5374692	5739343	no	-	ST134	0	0	7	17	-	0	-	0	-	0	-	0	-	0	-	wzi168	KL25	K25	-	High	98.25%	KL25_09_wfeD	O5	O5	*	High	94.18%		aac(6')-Ib4;aadA*;aph(3')-Ia;strA.v1*;strB.v1*	-	-	qnrS1	-	-	catB3.v2;cmlA5	arr-2	sul1;sul1;sul2	-	-	dfrA14.v2*	DHA-1;LAP-1;OXA-10;OXA-10	-	-	-	-	SHV-60	35Q	-	-	-	-	-	ST134	3	1	2	1	1	1	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Klebsiella_pneumoniae_ATCC_BAA_1705	Klebsiella pneumoniae	strong	7	5302865	5302865	5760495	no	-	ST258	0	2	8	10	-	0	-	0	-	0	-	0	-	0	-	wzi154	KL107	unknown (KL107)	none	Very high	100.00%		O1/O2v2	O2afg	none	Very high	98.38%		aac(6')-Ib'.v1;aac(6')-Ib'.v1;aadA2^;aph3-Ia.v1^	-	-	-	-	mphA	catA1^	-	sul1	-	-	dfrA12	TEM-1D.v1^	-	-	-	KPC-2	SHV-11.v1;SHV-11.v1	35Q;35Q	OmpK35-25%	-	GyrA-83I;ParC-80I	OXA-9.v1*-42%	-	ST258	3	3	1	1	1	1	79	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
