Accession,Strain,Isolation_source,Culture_collection,Bioproject,BioSample,Host,Collection_date,Origin,lat,lon,Serovar,Genome Length,No. Contigs,Smallest Contig,Largest Contig,Average Contig Length,N50,non-ATCG,GC Content,Organism Name,ST,cgST,LIN code,Sublineage,Clonal Group,Species,Yersiniabactin,Colibactin,Aerobactin,Salmochelin,RmpADC,rmpA2,virulence_score,Bla_acquired,Bla_inhR_acquired,Bla_ESBL_acquired,Bla_ESBL_inhR_acquired,Bla_Carb_acquired,Bla_chr,SHV_mutations,Omp_mutations,Col_mutations,Flq_mutations,resistance_score,K_locus,K_type,K_locus_confidence,K_locus_problems,K_locus_identity,K_Missing_expected_genes,O_locus,O_type,O_locus_confidence,O_locus_problems,O_locus_identity,O_Missing_expected_genes
Klebsiella_aerogenes_ATCC_BAA_2356,ATCC BAA-2356,Unknown,ATCC,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,Unknown,5118626,1,5118626,5118626,5118626,5118626,0,55.1,Klebsiella aerogenes,240,Not tested,Not tested,Not tested,Not tested,Klebsiella aerogenes,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested
Klebsiella_michiganensis_ATCC_15764,ATCC 15764,Urine,ATCC,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,Unknown,6510185,21,108,6071153,310008,6071153,0,55.7,Klebsiella michiganensis,213,Not tested,Not tested,Not tested,Not tested,Klebsiella michiganensis,-,-,-,-,-,-,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested
Klebsiella_michiganensis_ATCC_43086,ATCC 43086,Unknown,ATCC,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,Unknown,5977557,8,169,5803988,747194,5803988,0,56,Klebsiella michiganensis,Novel,Not tested,Not tested,Not tested,Not tested,Klebsiella michiganensis,-,-,-,-,-,-,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested
Klebsiella_michiganensis_ATCC_BAA_2403,ATCC BAA-2403,Toothbrush holder,ATCC,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,Unknown,6171885,4,4163,5912455,1542971,5912455,0,56,Klebsiella michiganensis,84,Not tested,Not tested,Not tested,Not tested,Klebsiella michiganensis,-,-,-,-,-,-,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested
Klebsiella_oxytoca_ATCC_13030,ATCC 13030,Unknown,ATCC,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,Unknown,5743501,9,150,5453753,638166,5453753,0,55.7,Klebsiella grimontii,Novel,Not tested,Not tested,Not tested,Not tested,Klebsiella grimontii,-,-,-,-,-,-,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested
Klebsiella_oxytoca_ATCC_13182,ATCC 13182,Pharyngeal tonsiln,ATCC,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,Unknown,5856480,1,5856480,5856480,5856480,5856480,0,55.1,Klebsiella oxytoca,199,Not tested,Not tested,Not tested,Not tested,Klebsiella oxytoca,-,-,-,-,-,-,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested
Klebsiella_oxytoca_ATCC_13183,ATCC 13183,Pharyngeal tonsil,ATCC,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,Unknown,5977972,2,200578,5777394,2988986,5777394,0,55,Klebsiella oxytoca,176,Not tested,Not tested,Not tested,Not tested,Klebsiella oxytoca,-,-,-,-,-,-,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested
Klebsiella_oxytoca_ATCC_33496,ATCC 33496,Urinary tract,ATCC,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,Unknown,5857989,1,5857989,5857989,5857989,5857989,0,55.2,Klebsiella oxytoca,Novel,Not tested,Not tested,Not tested,Not tested,Klebsiella oxytoca,-,-,-,-,-,-,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested
Klebsiella_oxytoca_ATCC_35600,ATCC 35600,Clinical isolate,ATCC,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,Unknown,5956679,1,5956679,5956679,5956679,5956679,0,55.1,Klebsiella oxytoca,176,Not tested,Not tested,Not tested,Not tested,Klebsiella oxytoca,-,-,-,-,-,-,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested
Klebsiella_oxytoca_ATCC_43165,ATCC 43165,Clinical isolate,ATCC,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,Unknown,5855707,14,104,5650752,418264,5650752,0,55.2,Klebsiella oxytoca,2,Not tested,Not tested,Not tested,Not tested,Klebsiella oxytoca,-,-,-,-,-,-,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested
Klebsiella_oxytoca_ATCC_43863,ATCC 43863,Unknown,ATCC,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,Unknown,5970025,2,5666,5964359,2985012,5964359,0,56.1,Klebsiella michiganensis,50,Not tested,Not tested,Not tested,Not tested,Klebsiella michiganensis,-,-,-,-,-,-,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested
Klebsiella_oxytoca_ATCC_49131,ATCC 49131,Clinical isolate,ATCC,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,Unknown,5864658,1,5864658,5864658,5864658,5864658,0,55.2,Klebsiella oxytoca,59,Not tested,Not tested,Not tested,Not tested,Klebsiella oxytoca,-,-,-,-,-,-,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested
Klebsiella_oxytoca_ATCC_51817,ATCC 51817,Milk,ATCC,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,Unknown,5905396,1,5905396,5905396,5905396,5905396,0,55.2,Klebsiella oxytoca,364,Not tested,Not tested,Not tested,Not tested,Klebsiella oxytoca,-,-,-,-,-,-,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested
Klebsiella_oxytoca_ATCC_51983,ATCC 51983,Blood,ATCC,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,Unknown,6176456,8,3294,5783196,772057,5783196,0,55,Klebsiella oxytoca,223,Not tested,Not tested,Not tested,Not tested,Klebsiella oxytoca,-,-,-,-,-,-,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested
Klebsiella_oxytoca_ATCC_700324,ATCC 700324,Unknown,ATCC,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,Unknown,5917395,3,3662,5770108,1972465,5770108,0,55.1,Klebsiella oxytoca,223,Not tested,Not tested,Not tested,Not tested,Klebsiella oxytoca,-,-,-,-,-,-,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested
Klebsiella_oxytoca_ATCC_8724,ATCC 8724,Unknown,ATCC,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,Unknown,6162545,2,186644,5975901,3081272,5975901,0,55.7,Klebsiella michiganensis,28,Not tested,Not tested,Not tested,Not tested,Klebsiella michiganensis,-,-,-,-,-,-,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested
Klebsiella_oxytoca_ATCC_BAA_2572,ATCC BAA-2572,Unknown,ATCC,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,Unknown,6296676,5,3270,6047909,1259335,6047909,0,54.9,Klebsiella oxytoca,36,Not tested,Not tested,Not tested,Not tested,Klebsiella oxytoca,-,-,-,-,-,-,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested
Klebsiella_oxytoca_ATCC_BAA_3059,ATCC BAA-3059,Wound,ATCC,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,Unknown,6602842,5,89567,5937112,1320568,5937112,0,55.2,Klebsiella michiganensis,138,Not tested,Not tested,Not tested,Not tested,Klebsiella michiganensis,-,-,-,-,-,-,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested
Klebsiella_pneumoniae_ATCC_4352,ATCC 4352,Dairy products - cow's milk,ATCC,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,Unknown,5246056,1,5246056,5246056,5246056,5246056,0,57.5,Klebsiella pneumoniae,86,30107,"0,0,395,0,9,0,1,0,0,0",86,86,Klebsiella pneumoniae,ybt 9; ICEKp3,-,-,-,-,-,ybt only,-,-,-,-,-,SHV-1^,-,-,MgrB-49%,-,ESBL and Carb negative,KL2,K2,Typeable,-,99.94%,-,O1/O2v1,O2a,Typeable,-,99.30%,-
Klebsiella_pneumoniae_ATCC_BAA_1144,ATCC BAA-1144,Clinical specimen,ATCC,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,Unknown,5739343,6,4018,5374692,956557,5374692,0,57.1,Klebsiella pneumoniae,134,Novel,"0,0,233,0,0,*,*,*,*,*",134,134,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",DHA-1;LAP-1;OXA-10;OXA-10,-,-,-,-,SHV-60,35Q,-,-,-,ESBL and Carb negative,KL25,K25,Typeable,!,99.48%,-,O5,O5,Typeable,-,98.24%,-
Klebsiella_pneumoniae_ATCC_BAA_1705,ATCC BAA-1705,Urine; 2007 cap survey,ATCC,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,Unknown,5760495,7,5339,5302865,822927,5302865,0,57.1,Klebsiella pneumoniae,258,676,"0,0,105,6,0,0,17,0,1,0",258,258,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",TEM-1D.v1^,-,-,-,KPC-2,SHV-11;SHV-11,35Q;35Q,OmpK35-25%,-,GyrA-83I;ParC-80I,Carb without colistin,KL107,unknown (KL107),Typeable,-,100.00%,-,O1/O2v2,O2afg,Typeable,-,99.09%,-
Klebsiella_pneumoniae_ATCC_BAA_1706,ATCC BAA-1706,Unknown,ATCC,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,Unknown,5521365,3,34627,5304241,1840455,5304241,0,57.2,Klebsiella pneumoniae,14,Novel,"0,0,1,1,18,*,*,*,*,*",14,14,Klebsiella pneumoniae,ybt 10; ICEKp4,-,-,-,-,-,ybt only,TEM-1D.v1^;TEM-1D.v1^,-,-,-,-,SHV-11^,35Q,OmpK36-31%,MgrB-49%,GyrA-83F,ESBL and Carb negative,KL2,K2,Typeable,-,99.82%,-,O1/O2v1,O1ab,Typeable,-,99.97%,-
Klebsiella_pneumoniae_ATCC_BAA_1898,ATCC BAA-1898,"Human, northern virginia",ATCC,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,Unknown,5730161,4,43376,5354389,1432540,5354389,0,57.1,Klebsiella pneumoniae,258,673,"0,0,105,6,0,0,0,0,0,0",258,258,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",TEM-1D.v1^,-,SHV-12,-,KPC-2,SHV-11^,238S;240K;35Q;35Q,OmpK35-25%,-,GyrA-83I;ParC-80I,Carb without colistin,KL106,unknown (KL106),Typeable,+!,100.00%,-,O1/O2v2,O2afg,Typeable,-,99.07%,-
Klebsiella_pneumoniae_ATCC_BAA_1899,ATCC BAA-1899,"Human, northern virginia",ATCC,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,Unknown,5677126,5,7867,5292110,1135425,5292110,0,57.1,Klebsiella pneumoniae,258,Novel,"0,0,105,6,0,0,0,*,*,*",258,258,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",TEM-1D.v1^,-,SHV-12,-,KPC-2,SHV-11^,238S;240K;35Q;35Q,OmpK35-25%;OmpK36GD,-,GyrA-83I;ParC-80I,Carb without colistin,KL106,unknown (KL106),Typeable,+!,100.00%,-,O1/O2v2,O2afg,Typeable,-,99.06%,-
Klebsiella_pneumoniae_ATCC_BAA_1900,ATCC BAA-1900,Unknown,ATCC,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,Unknown,5562875,7,2511,5367688,794696,5367688,0,57.3,Klebsiella pneumoniae,258,Novel,"0,0,105,6,0,0,17,*,*,*",258,258,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",OXA-9.v1;TEM-1D.v1^,-,-,-,KPC-3,SHV-11,35Q,OmpK35-25%,-,GyrA-83I;ParC-80I,Carb without colistin,KL107,unknown (KL107),Typeable,-,99.97%,-,O1/O2v2,O2afg,Typeable,-,99.09%,-
Klebsiella_pneumoniae_ATCC_BAA_1902,ATCC BAA-1902,Human,ATCC,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,Unknown,5856424,19,131,5383199,308232,5383199,0,57,Klebsiella pneumoniae,418,Novel,"0,0,105,6,0,0,17,*,*,*",258,258,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",OXA-9.v1;TEM-1D.v1^,-,SHV-12,-,KPC-3,SHV-11^,238S;240K;35Q;35Q,OmpK35-25%;OmpK36-17%,-,GyrA-83I;ParC-80I,Carb without colistin,KL107,unknown (KL107),Typeable,-,99.97%,-,OL13,O13,Untypeable,-,98.26%,OL13_06_wzm;OL13_09_glycosylhydrolase;OL13_08_wbbB;OL13_05_wbbL;OL13_07_wzt
Klebsiella_pneumoniae_ATCC_BAA_1903,ATCC BAA-1903,Human,ATCC,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,Unknown,5643236,4,13841,5343070,1410809,5343070,0,57.2,Klebsiella pneumoniae,418,Novel,"0,0,105,6,0,0,0,*,*,*",258,258,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",TEM-1D.v1^,-,-,-,KPC-2,SHV-11,35Q,OmpK35-25%,-,GyrA-83I;ParC-80I,Carb without colistin,KL106,unknown (KL106),Typeable,+!,99.97%,-,O1/O2v2,O2afg,Typeable,-,99.09%,-
Klebsiella_pneumoniae_ATCC_BAA_1904,ATCC BAA-1904,Human,ATCC,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,Unknown,5992168,7,9294,5480902,856024,5480902,0,56.8,Klebsiella pneumoniae,792,Novel,"0,0,401,0,0,*,*,*,*,*",792,792,Klebsiella pneumoniae,ybt 17; ICEKp10,clb 3,-,-,-,-,clb + ybt (or clb only),OXA-9.v1;TEM-1D.v1^,-,-,-,KPC-3,SHV-1*,-,-,-,-,Carb without colistin,KL25,K25,Typeable,-,100.00%,-,O3/O3a,O3/O3a,Typeable,-,99.51%,-
Klebsiella_pneumoniae_ATCC_BAA_1905,ATCC BAA-1905,Human,ATCC,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,Unknown,5921420,10,138,5406871,592142,5406871,0,57,Klebsiella pneumoniae,258,673,"0,0,105,6,0,0,0,0,0,0",258,258,Klebsiella pneumoniae,ybt 17; ICEKp10,clb 3,-,-,-,-,clb + ybt (or clb only),TEM-1D.v1^,-,SHV-12,-,KPC-2,SHV-11,238S;240K;35Q;35Q,OmpK35-25%,-,GyrA-83I;ParC-80I,Carb without colistin,KL51,K51,Typeable,-,99.83%,-,O3b,O3b,Typeable,-,99.61%,-
Klebsiella_pneumoniae_ATCC_BAA_2146,ATCC BAA-2146,Urine,ATCC,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,Unknown,5780684,5,2014,5435730,1156136,5435730,0,57,Klebsiella pneumoniae,11,646,"0,0,105,0,19,1,0,0,0,0",258,340,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",CMY-6;OXA-1;TEM-1D.v1^,-,CTX-M-15;CTX-M-15,-,NDM-1,SHV-11;SHV-11^,35Q;35Q,OmpK35-25%,-,GyrA-83I;ParC-80I,Carb without colistin,KL74,K74,Typeable,-,99.36%,-,OL104,unknown (OL104),Typeable,-,95.55%,-
Klebsiella_pneumoniae_ATCC_BAA_2342,ATCC BAA-2342,Clinical specimen,ATCC,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,Unknown,5888537,6,2927,5486126,981422,5486126,0,57,Klebsiella pneumoniae,258,634,"0,0,105,6,0,0,88,0,0,0",258,258,Klebsiella pneumoniae,ybt 17; ICEKp10,clb 3,-,-,-,-,clb + ybt (or clb only),OXA-9.v1;TEM-1D.v1^,-,SHV-12,-,KPC-3,SHV-11^,238S;240K;35Q;35Q,OmpK35-25%,-,GyrA-83I;ParC-80I,Carb without colistin,KL107,unknown (KL107),Typeable,-,99.97%,-,O1/O2v2,O2afg,Typeable,-,99.09%,-
Klebsiella_pneumoniae_ATCC_BAA_2343,ATCC BAA-2343,Unknown,ATCC,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,Unknown,5754711,5,11151,5378796,1150942,5378796,0,57,Klebsiella pneumoniae,258,635,"0,0,105,6,0,0,17,51,0,0",258,258,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",OXA-9.v1;TEM-1D.v1^,-,-,-,KPC-3;KPC-3;KPC-3,SHV-11,35Q,OmpK35-25%,-,GyrA-83I;GyrA-87N;ParC-80I,Carb without colistin,KL107,unknown (KL107),Typeable,!,99.97%,-,O1/O2v2,O2afg,Typeable,-,99.09%,-
