strain	accession	geo_loc_name	serovar	lon	lat	Assembly	species	species_match	contig_count	N50	largest_contig	total_size	ambiguous_bases	QC_warnings	MLST_scheme	MLST	K-locus	Best match type K-locus	Problems K-locus	Identity K-locus	Coverage K-locus	Length discrepancy K-locus	Expected genes in locus K-locus	Expected genes in locus, details K-locus	Missing expected genes K-locus	Other genes in locus K-locus	Other genes in locus, details K-locus	Expected genes outside locus K-locus	Expected genes outside locus, details K-locus	Other genes outside locus K-locus	Other genes outside locus, details K-locus	Truncated genes, details K-locus	O-locus	Best match type O-locus	Problems O-locus	Identity O-locus	Coverage O-locus	Length discrepancy O-locus	Expected genes in locus O-locus	Expected genes in locus, details O-locus	Missing expected genes O-locus	Other genes in locus O-locus	Other genes in locus, details O-locus	Expected genes outside locus O-locus	Expected genes outside locus, details O-locus	Other genes outside locus O-locus	Other genes outside locus, details O-locus	Truncated genes, details O-locus	ST	virulence_score	resistance_score	num_resistance_classes	num_resistance_genes	Yersiniabactin	YbST	Colibactin	CbST	Aerobactin	AbST	Salmochelin	SmST	RmpADC	RmST	rmpA2	wzi	AGly_acquired	Col_acquired	Fcyn_acquired	Flq_acquired	Gly_acquired	MLS_acquired	Phe_acquired	Rif_acquired	Sul_acquired	Tet_acquired	Tgc_acquired	Tmt_acquired	Bla_acquired	Bla_inhR_acquired	Bla_ESBL_acquired	Bla_ESBL_inhR_acquired	Bla_Carb_acquired	Bla_chr	SHV_mutations	Omp_mutations	Col_mutations	Flq_mutations	truncated_resistance_hits	spurious_resistance_hits	Chr_ST	gapA	infB	mdh	pgi	phoE	rpoB	tonB	ybtS	ybtX	ybtQ	ybtP	ybtA	irp2	irp1	ybtU	ybtT	ybtE	fyuA	clbA	clbB	clbC	clbD	clbE	clbF	clbG	clbH	clbI	clbL	clbM	clbN	clbO	clbP	clbQ	iucA	iucB	iucC	iucD	iutA	iroB	iroC	iroD	iroN	rmpA	rmpD	rmpC	spurious_virulence_hits
NCTC11685	GCA_900461495.1	United Kingdom: Leeds	not available: to be reported later	-1.5490774	53.8007554	GCA_900461495.1_36672_G01_genomic	Klebsiella michiganensis	strong	8	1614094	2480079	5919270	no	-	koxytoca	-																																																																																																																								
NCTC13775	GCA_900451165.1		not available: to be reported later			GCA_900451165.1_44787_G01_genomic	Klebsiella oxytoca	strong	2	5921570	5921570	5941796	no	-	koxytoca	257																																																																																																																								
NCTC11691	GCA_900451235.1		not available: to be reported later			GCA_900451235.1_36340_F02_genomic	Klebsiella oxytoca	strong	2	5533000	5533000	5652648	no	-	koxytoca	-																																																																																																																								
NCTC11696	GCA_900451255.1		not available: to be reported later			GCA_900451255.1_32473_E02_genomic	Klebsiella oxytoca	strong	3	5852199	5852199	5985119	no	-	koxytoca	19																																																																																																																								
NCTC11355	GCA_900478285.1	United Kingdom: Coventry	74	-1.5089521	52.4128163	GCA_900478285.1_36005_G01_genomic	Klebsiella oxytoca	strong	1	5859982	5859982	5859982	no	-	koxytoca	101																																																																																																																								
NCTC11356	GCA_900635105.1	United Kingdom: Coventry	Capsular type 79	-1.5089521	52.4128163	GCA_900635105.1_36109_D01_genomic	Klebsiella oxytoca	strong	1	5856891	5856891	5856891	no	-	koxytoca	101																																																																																																																								
NCTC13727	GCA_900636985.1		not available: to be reported later			GCA_900636985.1_45889_C01_genomic	Klebsiella oxytoca	strong	1	5857964	5857964	5857964	no	-	koxytoca	199																																																																																																																								
MRSN761403	GCA_019927265.1	USA: Nevada		-116.419389	38.8026097	GCA_019927265.1_ASM1992726v1_genomic	Klebsiella pneumoniae	strong	140	137179	426300	5630496	no	-	kpneumoniae	258	KL107	unknown (KL107)		99.95%	100.00%	0 bp	16 / 16 (100.00%)	KL107_01_galF,99.66%,100.00%;KL107_02_cpsACP,100.00%,100.00%;KL107_03_wzi,100.00%,100.00%;KL107_04_wza,100.00%,100.00%;KL107_05_wzb,100.00%,100.00%;KL107_06_wzc,99.86%,100.00%;KL107_07_wbaP,100.00%,100.00%;KL107_08,100.00%,100.00%;KL107_09,99.66%,100.00%;KL107_10,100.00%,100.00%;KL107_11_gnd,100.00%,100.00%;KL107_12,100.00%,100.00%;KL107_13,100.00%,100.00%;KL107_14,100.00%,100.00%;KL107_15,100.00%,100.00%;KL107_16_ugd,100.00%,100.00%		0		0 / 16 (0.00%)		4	KL40_03_wcpO,99.19%,100.00%;KL40_04,99.25%,100.00%;KL40_05_rfaG,99.74%,100.00%;KL150_19_gmd,99.10%,100.00%		O1/O2v2	O2afg		99.06%	100.00%	0 bp	10 / 10 (100.00%)	O1/O2v2_01_wzm,100.00%,100.00%;O1/O2v2_02_wzt,99.19%,100.00%;O1/O2v2_03_wbbM,98.57%,100.00%;O1/O2v2_04_glf,98.96%,100.00%;O1/O2v2_05_wbbN,98.99%,100.00%;O1/O2v2_06_wbbO,99.47%,100.00%;O1/O2v2_07_kfoC,98.76%,100.00%;O1/O2v2_08_gmlC,97.33%,100.00%;O1/O2v2_09_gmlB,99.39%,100.00%;O1/O2v2_10_gmlA,100.00%,100.00%		0		0 / 10 (0.00%)		4	O12_01_rfbB,98.58%,99.72%;OL13_02_rfbA,98.27%,100.00%;OL13_03_rfbD,98.99%,100.00%;OL13_04_rfbC,98.34%,98.37%		ST258	0	3	9	10	-	0	-	0	-	0	-	0	-	0	-	wzi154	aac(6')-Ib'.v1;aadA2^	-	-	-	-	mphA	catA1^;cmlA1*	-	sul1;sul3	-	-	dfrA12	-	-	SHV-12	-	KPC-2	-	238S;240K;35Q	OmpK35-25%	MgrB-53%	GyrA-83I;ParC-80I	OXA-9.v1*-42%;TEM-122*?-80%	aadA24?-0%	ST258	3	3	1	1	1	1	79	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MRSN750999	GCA_019927285.1	USA: District of Columbia		-77.0368707	38.9071923	GCA_019927285.1_ASM1992728v1_genomic	Klebsiella pneumoniae	strong	175	147293	440057	5488074	no	-	kpneumoniae	4075	KL183	unknown (KL183)	?3!	98.37%	99.81%	n/a	19 / 19 (100.00%)	KL183_01_galF,98.99%,100.00%;KL183_02_cpsACP,94.26%,100.00%;KL183_03_wzi,97.48%,100.00%;KL183_04_wza,99.20%,100.00%;KL183_05_wzb,100.00%,100.00%;KL183_06_wzc,99.72%,100.00%;KL183_07_wbaP,99.37%,100.00%;KL183_08,98.35%,100.00%;KL183_09_wcqC,97.66%,100.00%;KL183_10,98.22%,100.00%;KL183_11_wzx,96.23%,100.00%;KL183_12,96.76%,100.00%;KL183_13,98.54%,100.00%;KL183_14_gnd,99.79%,100.00%;KL183_15_rmlB,98.31%,100.00%;KL183_16_rmlA,100.00%,6.23%,partial;KL183_16_rmlA,98.12%,92.04%,partial;KL183_17_rmlD,98.99%,100.00%;KL183_18_rmlC,97.73%,95.65%,partial;KL183_19_ugd,99.74%,100.00%		0		2 / 19 (10.53%)	KL183_15_rmlB,98.59%,100.00%;KL183_16_rmlA,100.00%,5.88%,truncated	1	KL150_19_gmd,99.70%,100.00%	KL183_16_rmlA,100.00%,5.88%,truncated	OL13	O13	?4!	97.15%	109.18%	n/a	9 / 9 (100.00%)	OL13_01_rfbB,97.46%,100.00%;OL13_01_rfbB,97.18%,100.00%;OL13_02_rfbA,100.00%,5.88%,partial;OL13_02_rfbA,100.00%,6.23%,partial;OL13_02_rfbA,98.12%,92.04%,partial;OL13_03_rfbD,98.65%,100.00%;OL13_04_rfbC,96.59%,95.65%,partial;OL13_05_wbbL,98.91%,100.00%;OL13_06_wzm,98.92%,100.00%;OL13_07_wzt,99.32%,100.00%;OL13_08_wbbB,95.71%,100.00%;OL13_09_glycosylhydrolase,85.00%,7.72%,truncated		0		0 / 9 (0.00%)		0		OL13_09_glycosylhydrolase,85.00%,7.72%,truncated	ST4075	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	wzi150	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-27	156D	-	-	-	-	-	ST4075	14	3	2	287	9	1	9	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MRSN742743	GCA_019927305.1	USA: Virginia		-78.6568942	37.4315734	GCA_019927305.1_ASM1992730v1_genomic	Klebsiella pneumoniae	strong	143	157925	304398	5312555	no	-	kpneumoniae	34	KL128	unknown (KL128)	!	99.44%	99.95%	1 bp	23 / 23 (100.00%)	KL128_01_galF,99.66%,100.00%;KL128_02_cpsACP,100.00%,100.00%;KL128_03_wzi,100.00%,100.00%;KL128_04_wza,99.74%,100.00%;KL128_05_wzb,100.00%,100.00%;KL128_06_wzc,100.00%,100.00%;KL128_07_wbaP,99.79%,100.00%;KL128_08_wcaA,100.00%,100.00%;KL128_09_wzy,100.00%,100.00%;KL128_10,99.71%,100.00%;KL128_11,100.00%,100.00%;KL128_12_wcuD,99.73%,100.00%;KL128_13_wcuS,100.00%,100.00%;KL128_14_wzx,100.00%,100.00%;KL128_15,100.00%,100.00%;KL128_16_gnd,100.00%,100.00%;KL128_17_manC,100.00%,100.00%;KL128_18_manB,100.00%,100.00%;KL128_19_rmlB,100.00%,100.00%;KL128_20_rmlA,98.60%,98.62%;KL128_21_rmlD,89.86%,100.00%;KL128_22_rmlC,100.00%,100.00%;KL128_23_ugd,100.00%,100.00%		0		0 / 23 (0.00%)		5	KL50_09_wzx,100.00%,22.54%,truncated;KL50_10,99.43%,100.00%;KL43_17_manC,100.00%,100.00%;KL150_19_gmd,99.70%,100.00%;KL30_19_manB,99.78%,98.29%	KL50_09_wzx,100.00%,22.54%,truncated	O3b	O3b	!	99.61%	100.00%	0 bp	8 / 8 (100.00%)	O3b_01_manC,100.00%,100.00%;O3b_02_manB,99.78%,100.00%;O3b_03_wzm,98.47%,100.00%;O3b_04_wzt,99.54%,100.00%;O3b_05_wbdD,99.71%,100.00%;O3b_06_wbdA,99.88%,100.00%;O3b_07_wbdB,99.74%,100.00%;O3b_08_wbdC,99.73%,100.00%		0		0 / 8 (0.00%)		5	OL104_01_manC,94.69%,100.00%;O12_01_rfbB,94.62%,99.72%;OL102_02_rfbA,96.49%,98.62%;OL13_03_rfbD,98.65%,100.00%;OL102_04_rfbC,97.01%,90.76%,truncated	OL102_04_rfbC,97.01%,90.76%,truncated	ST34	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	wzi99	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-26	-	-	-	-	-	-	ST34	2	3	6	1	9	7	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MRSN750877	GCA_019927315.1	USA: District of Columbia		-77.0368707	38.9071923	GCA_019927315.1_ASM1992731v1_genomic	Klebsiella pneumoniae	strong	263	90472	187688	5899390	no	-	kpneumoniae	461	KL62	K62	?4!	99.65%	100.02%	n/a	19 / 19 (100.00%)	KL62_01_galF,100.00%,100.00%;KL62_02_cpsACP,97.61%,100.00%;KL62_03_wzi,100.00%,100.00%;KL62_04_wza,100.00%,100.00%;KL62_05_wzb,100.00%,100.00%;KL62_06_wzc,99.58%,100.00%;KL62_07_wbaP,99.79%,100.00%;KL62_08,99.48%,100.00%;KL62_09,99.42%,100.00%;KL62_10,100.00%,100.00%;KL62_11_wzy,99.48%,100.00%;KL62_12,100.00%,9.84%,truncated;KL62_12,100.00%,8.57%,partial;KL62_13,99.16%,100.00%;KL62_14,99.74%,100.00%;KL62_15_wzx,100.00%,100.00%;KL62_16_gnd,100.00%,100.00%;KL62_17_manC,99.79%,100.00%;KL62_18_manB,99.56%,100.00%;KL62_19_ugd,99.48%,100.00%		0		0 / 19 (0.00%)		4	KL40_03_wcpO,99.80%,100.00%;KL40_04,100.00%,100.00%;KL40_05_rfaG,100.00%,100.00%;KL150_19_gmd,100.00%,100.00%	KL62_12,100.00%,9.84%,truncated	O1/O2v2	O1ab	?2	99.14%	99.84%	n/a	10 / 10 (100.00%)	O1/O2v2_01_wzm,99.61%,100.00%;O1/O2v2_02_wzt,99.19%,100.00%;O1/O2v2_03_wbbM,98.57%,100.00%;O1/O2v2_04_glf,99.22%,100.00%;O1/O2v2_05_wbbN,98.97%,98.32%,partial;O1/O2v2_06_wbbO,99.73%,100.00%;O1/O2v2_07_kfoC,99.50%,100.00%;O1/O2v2_08_gmlC,97.53%,100.00%;O1/O2v2_09_gmlB,99.08%,100.00%;O1/O2v2_10_gmlA,100.00%,100.00%		0		0 / 10 (0.00%)		4	O3b_01_manC,100.00%,100.00%;O3/O3a_02_manB,99.78%,97.39%;Extra_genes_wbbYZ_01_wbbY,100.00%,100.00%;Extra_genes_wbbYZ_02_wbbZ,99.63%,100.00%		ST461	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	wzi149	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-1^	-	-	-	-	-	-	ST461	3	1	13	34	63	1	64	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MRSN736213	GCA_019927325.1	USA: District of Columbia		-77.0368707	38.9071923	GCA_019927325.1_ASM1992732v1_genomic	Klebsiella pneumoniae	strong	179	99388	253824	5453746	no	-	kpneumoniae	380	KL2	K2		99.80%	100.00%	1 bp	18 / 18 (100.00%)	KL2_01_galF,100.00%,100.00%;KL2_02_cpsACP,100.00%,100.00%;KL2_03_wzi,100.00%,100.00%;KL2_04_wza,100.00%,100.00%;KL2_05_wzb,100.00%,100.00%;KL2_06_wzc,99.72%,100.00%;KL2_07,99.44%,100.00%;KL2_08,99.73%,100.00%;KL2_09,99.74%,100.00%;KL2_10,100.00%,100.00%;KL2_11_wzx,99.79%,100.00%;KL2_12,99.31%,100.00%;KL2_13,99.55%,100.00%;KL2_14_wcaJ,99.78%,100.00%;KL2_15_gnd,99.57%,100.00%;KL2_16_manC,100.00%,100.00%;KL2_17_manB,100.00%,100.00%;KL2_18_ugd,99.74%,100.00%		0		0 / 18 (0.00%)		2	KL40_05_rfaG,98.15%,99.74%;KL150_19_gmd,100.00%,100.00%		O1/O2v1	O1ab		99.95%	100.00%	0 bp	7 / 7 (100.00%)	O1/O2v1_01_wzm,100.00%,100.00%;O1/O2v1_02_wzt,100.00%,100.00%;O1/O2v1_03_wbbM,100.00%,100.00%;O1/O2v1_04_glf,100.00%,100.00%;O1/O2v1_05_wbbN,99.66%,100.00%;O1/O2v1_06_wbbO,100.00%,100.00%;O1/O2v1_07_kfoC,100.00%,100.00%		0		0 / 7 (0.00%)		4	O3b_01_manC,100.00%,100.00%;O3b_02_manB,99.55%,96.52%;Extra_genes_wbbYZ_02_wbbZ,99.63%,100.00%;Extra_genes_wbbYZ_01_wbbY,100.00%,100.00%		ST380	5	0	0	0	ybt 12; ICEKp10	1-1LV	clb 1	1-2LV	iuc 2	14	iro 2	3	rmp 2; KpVP-2	7	-	wzi2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-207	-	-	-	-	-	-	ST380	2	1	1	1	1	4	19	1	1	1	1	1	3*	3	1	1	1	1	1	5	1	1	1	1	1*	1	1	1	1	1	1	1	1	2	2	2	2	2	2	3	2	2	3	6	5	rmpA_91*-0%
MRSN740795	GCA_019927345.1	Ukraine: Vinnitsa		28.468217	49.233083	GCA_019927345.1_ASM1992734v1_genomic	Klebsiella pneumoniae	strong	135	136505	354757	5704282	no	-	kpneumoniae	395	KL2	K2	?2-	99.82%	86.99%	n/a	16 / 18 (88.89%)	KL2_01_galF,100.00%,100.00%;KL2_02_cpsACP,100.00%,100.00%;KL2_05_wzb,100.00%,49.31%,partial;KL2_06_wzc,99.72%,100.00%;KL2_07,99.72%,100.00%;KL2_08,100.00%,100.00%;KL2_09,99.74%,100.00%;KL2_10,100.00%,100.00%;KL2_11_wzx,100.00%,100.00%;KL2_12,99.31%,100.00%;KL2_13,99.55%,100.00%;KL2_14_wcaJ,99.78%,100.00%;KL2_15_gnd,99.57%,100.00%;KL2_16_manC,100.00%,100.00%;KL2_17_manB,100.00%,100.00%;KL2_18_ugd,99.74%,100.00%	KL2_03_wzi;KL2_04_wza	0		0 / 18 (0.00%)		2	KL40_05_rfaG,97.89%,99.74%;KL150_19_gmd,100.00%,100.00%		O1/O2v1	O1ab		99.96%	100.00%	0 bp	7 / 7 (100.00%)	O1/O2v1_01_wzm,100.00%,100.00%;O1/O2v1_02_wzt,100.00%,100.00%;O1/O2v1_03_wbbM,100.00%,100.00%;O1/O2v1_04_glf,100.00%,100.00%;O1/O2v1_05_wbbN,100.00%,100.00%;O1/O2v1_06_wbbO,99.73%,100.00%;O1/O2v1_07_kfoC,100.00%,100.00%		0		0 / 7 (0.00%)		4	O3b_01_manC,100.00%,100.00%;O3b_02_manB,99.55%,96.52%;Extra_genes_wbbYZ_02_wbbZ,99.63%,100.00%;Extra_genes_wbbYZ_01_wbbY,99.73%,100.00%		ST395	1	2	6	6	ybt 16; ICEKp12	530-2LV	-	0	-	0	-	0	-	0	-	-	aac(6')-Ib-cr.v2	-	-	qnrS1	-	-	catA1^	-	-	-	-	-	OXA-1	-	CTX-M-15	-	OXA-48	SHV-11.v1	35Q	OmpK35-72%	-	GyrA-83I;ParC-80I	CatB4.v1?-80%	-	ST395	3	1	2	4	1	1	4	87	15	121	126	11	245	325	2	11	4	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MRSN731029	GCA_019927385.1	South Korea		127.766922	35.907757	GCA_019927385.1_ASM1992738v1_genomic	Klebsiella pneumoniae	strong	151	116542	330230	5624338	no	-	kpneumoniae	37	KL15	K15	?2	99.84%	100.01%	n/a	16 / 16 (100.00%)	KL15_01_galF,100.00%,100.00%;KL15_02_cpsACP,100.00%,100.00%;KL15_03_wzi,100.00%,100.00%;KL15_04_wza,99.73%,100.00%;KL15_05_wzb,100.00%,100.00%;KL15_06_wzc,100.00%,100.00%;KL15_07_wcaJ,100.00%,100.00%;KL15_08_wceN,99.71%,100.00%;KL15_09_wceM,99.63%,100.00%;KL15_10_wcsR,99.38%,100.00%;KL15_11_wcaN,99.66%,100.00%;KL15_12_wzy,99.51%,100.00%;KL15_13_wckI,99.73%,100.00%;KL15_14_wzx,100.00%,100.68%;KL15_15_gnd,100.00%,100.00%;KL15_16_ugd,100.00%,100.00%		0		0 / 16 (0.00%)		1	KL150_19_gmd,89.91%,97.90%		O4	O4	?3	99.68%	100.21%	n/a	5 / 6 (83.33%)	O4_01_hydrolase,99.67%,100.00%;O4_02_hypothetical,99.73%,94.70%,partial;O4_02_hypothetical,100.00%,5.81%,partial;O4_03_hypothetical,99.57%,100.00%;O4_04_wzt,100.00%,100.00%;O4_05_wzm,98.77%,100.00%;O4_06_glycosyltransferase,99.69%,84.78%,partial;O4_06_glycosyltransferase,100.00%,15.75%,partial		0		0 / 6 (0.00%)		0			ST37	0	1	7	8	-	0	-	0	-	0	-	0	-	0	-	wzi50	aac(3)-IId^	-	-	qnrS1	-	-	-	-	sul1	tet(A).v1	-	dfrA1.v1	LAP-2*;TEM-1D.v1^	-	CTX-M-14	-	-	SHV-11.v1^	35Q	-	-	-	-	-	ST37	2	9	2	1	13	1	16	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	35	61	-	-	-	-	-	-	-	-
MRSN702261	GCA_019927405.1	Kenya: Nairobi		36.8219462	-1.2920659	GCA_019927405.1_ASM1992740v1_genomic	Klebsiella pneumoniae	strong	109	115321	255900	5311625	no	-	kpneumoniae	711	KL54	K54		99.94%	100.00%	-1 bp	20 / 20 (100.00%)	KL54_01_galF,100.00%,100.00%;KL54_02_cpsACP,100.00%,100.00%;KL54_03_wzi,99.79%,100.00%;KL54_04_wza,100.00%,100.00%;KL54_05_wzb,100.00%,100.00%;KL54_06_wzc,100.00%,100.00%;KL54_07_wclU,100.00%,100.00%;KL54_08_wzx,100.00%,100.00%;KL54_09_wzy,99.72%,100.00%;KL54_10_wckB,100.00%,100.00%;KL54_11_wcoS,100.00%,100.00%;KL54_12_gmd,100.00%,100.00%;KL54_13_wcaG,100.00%,100.00%;KL54_14_wcaH,100.00%,100.00%;KL54_15_wcaI,100.00%,100.00%;KL54_16_wcaJ,100.00%,100.00%;KL54_17_gnd,100.00%,100.00%;KL54_18_manC,99.58%,100.00%;KL54_19_manB,99.78%,100.00%;KL54_20_ugd,100.00%,100.00%		0		0 / 20 (0.00%)		4	KL40_03_wcpO,99.80%,100.00%;KL40_04,98.76%,100.00%;KL40_05_rfaG,99.74%,100.00%;KL150_19_gmd,98.20%,100.00%		O1/O2v2	O1ab		99.35%	100.00%	-2 bp	10 / 10 (100.00%)	O1/O2v2_01_wzm,100.00%,100.00%;O1/O2v2_02_wzt,99.59%,100.00%;O1/O2v2_03_wbbM,99.84%,100.00%;O1/O2v2_04_glf,99.22%,100.00%;O1/O2v2_05_wbbN,98.99%,100.00%;O1/O2v2_06_wbbO,100.00%,100.00%;O1/O2v2_07_kfoC,98.26%,100.00%;O1/O2v2_08_gmlC,97.94%,100.00%;O1/O2v2_09_gmlB,99.69%,100.00%;O1/O2v2_10_gmlA,100.00%,100.00%		0		0 / 10 (0.00%)		4	O3/O3a_01_manC,99.15%,100.00%;O3/O3a_02_manB,99.33%,97.39%;Extra_genes_wbbYZ_02_wbbZ,99.26%,100.00%;Extra_genes_wbbYZ_01_wbbY,99.73%,100.00%		ST711	1	1	6	9	ybt 16; ICEKp12	277	-	0	-	0	-	0	-	0	-	wzi303	aac(6')-Ib-cr.v2;strA.v1^;strB.v1	-	-	-	-	-	-	-	sul2	tet(A).v1	-	dfrA14.v2*	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	-	SHV-187	-	-	-	-	CatB4.v1?-81%	-	ST711	2	61	2	2	6	4	4	6	15	5	4	11	33	23	2	11	4	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
