Accession,Genome ID,Genome Name,Genome Length,No. Contigs,Smallest Contig,Largest Contig,Average Contig Length,N50,non-ATCG,GC Content,Organism Name,ST,cgST,LIN code,Sublineage,Clonal Group,species,Yersiniabactin,Colibactin,Aerobactin,Salmochelin,RmpADC,rmpA2,virulence_score,Bla_acquired,Bla_inhR_acquired,Bla_ESBL_acquired,Bla_ESBL_inhR_acquired,Bla_Carb_acquired,Bla_chr,SHV_mutations,Omp_mutations,Col_mutations,Flq_mutations,resistance_score,K_locus,K_type,K_locus_confidence,K_locus_problems,K_locus_identity,K_Missing_expected_genes,O_locus,O_type,O_locus_confidence,O_locus_problems,O_locus_identity,O_Missing_expected_genes
13183,67b44237ce6d686fc80f53af,Klebsiella_oxytoca_ATCC_13183,5977972,2,200578,5777394,2988986,5777394,0,55,Klebsiella oxytoca,176,Not tested,Not tested,Not tested,Not tested,Klebsiella oxytoca,-,-,-,-,-,-,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested
GCA_900478285.1,67b44237ce6d68740f0f5367,GCA_900478285.1_36005_G01_genomic,5859982,1,5859982,5859982,5859982,5859982,0,55.2,Klebsiella oxytoca,101,Not tested,Not tested,Not tested,Not tested,Klebsiella oxytoca,-,-,-,-,-,-,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested
700324,67b44237ce6d687d4a0f53b7,Klebsiella_oxytoca_ATCC_700324,5917395,3,3662,5770108,1972465,5770108,0,55.1,Klebsiella oxytoca,223,Not tested,Not tested,Not tested,Not tested,Klebsiella oxytoca,-,-,-,-,-,-,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested
GCA_900635105.1,67b44237ce6d6880140f5368,GCA_900635105.1_36109_D01_genomic,5856891,1,5856891,5856891,5856891,5856891,0,55.2,Klebsiella oxytoca,101,Not tested,Not tested,Not tested,Not tested,Klebsiella oxytoca,-,-,-,-,-,-,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested
GCA_900451255.1,67b44237ce6d68bf230f52fd,GCA_900451255.1_32473_E02_genomic,5985119,3,23956,5852199,1995039,5852199,0,54.9,Klebsiella oxytoca,19,Not tested,Not tested,Not tested,Not tested,Klebsiella oxytoca,-,-,-,-,-,-,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested
GCA_045261815.1,67b44237ce6d68ee610f52ec,GCA_045261815.1_ASM4526181v1_genomic,5959506,69,512,581652,86369,149573,0,55.1,Klebsiella oxytoca,37,Not tested,Not tested,Not tested,Not tested,Klebsiella oxytoca,-,-,-,-,-,-,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested
13182,67b44237ce6d68f0e90f53ae,Klebsiella_oxytoca_ATCC_13182,5856480,1,5856480,5856480,5856480,5856480,0,55.1,Klebsiella oxytoca,199,Not tested,Not tested,Not tested,Not tested,Klebsiella oxytoca,-,-,-,-,-,-,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested
35600,67b44237ce6d68fc830f53b1,Klebsiella_oxytoca_ATCC_35600,5956679,1,5956679,5956679,5956679,5956679,0,55.1,Klebsiella oxytoca,176,Not tested,Not tested,Not tested,Not tested,Klebsiella oxytoca,-,-,-,-,-,-,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested,Not tested
GCA_019927385.1,67b44236ce6d680ab30f525c,GCA_019927385.1_ASM1992738v1_genomic,5624338,151,201,330230,37247,116542,0,57,Klebsiella pneumoniae,37,Novel,"0,0,109,32,*,*,*,*,*,*",37,10010,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",LAP-2*;TEM-1D.v1^,-,CTX-M-14,-,-,SHV-11^,35Q,-,-,-,ESBL only,KL15,K15,Typeable,?2,99.84%,-,O4,O4,Typeable,?3,99.68%,-
GCA_019927305.1,67b44236ce6d6812900f5258,GCA_019927305.1_ASM1992730v1_genomic,5312555,143,202,304398,37150,157925,0,57.3,Klebsiella pneumoniae,34,Novel,"0,0,13,13,*,*,*,*,*,*",34,34,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,-,-,-,SHV-26,-,-,-,-,ESBL and Carb negative,KL128,unknown (KL128),Typeable,-,99.44%,-,O3b,O3b,Typeable,-,99.61%,-
GCA_019927285.1,67b44236ce6d6814c10f5257,GCA_019927285.1_ASM1992728v1_genomic,5488074,175,200,440057,31360,147293,0,57.3,Klebsiella pneumoniae,4075,Novel,"0,0,507,0,0,0,0,*,*,*",10159,10484,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,-,-,-,SHV-27,156D,-,-,-,ESBL and Carb negative,KL183,unknown (KL183),Typeable,?3,98.37%,-,OL13,O13,Typeable,?4!,97.15%,-
GCA_019927405.1,67b44236ce6d6817b30f525d,GCA_019927405.1_ASM1992740v1_genomic,5311625,109,215,255900,48730,115321,0,57.4,Klebsiella pneumoniae,711,Novel,"0,0,137,11,9,0,0,0,*,*",29,711,Klebsiella pneumoniae,ybt 16; ICEKp12,-,-,-,-,-,ybt only,OXA-1;TEM-1D.v1^,-,CTX-M-15,-,-,SHV-187,-,-,-,-,ESBL only,KL54,K54,Typeable,-,99.94%,-,O1/O2v2,O1ab,Typeable,-,99.35%,-
GCA_019927505.1,67b44236ce6d68193e0f5262,GCA_019927505.1_ASM1992750v1_genomic,5227020,127,201,352284,41157,117548,0,57.4,Klebsiella pneumoniae,2441,Novel,"0,0,117,0,0,0,1,*,*,*",3676,3676,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,-,-,-,SHV-11^,35Q,-,-,-,ESBL and Carb negative,KL14,K14,Typeable,?3,99.98%,-,O3b,O3b,Typeable,?2,99.88%,-
GCA_019927435.1,67b44236ce6d682ae10f525f,GCA_019927435.1_ASM1992743v1_genomic,5396379,123,200,288446,43873,138120,0,57.3,Klebsiella pneumoniae,1621,Novel,"0,0,1049,0,*,*,*,*,*,*",10914,11644,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,SHV-119* +238D,-,-,-,238D;35Q,-,-,-,ESBL only,KL46,K46,Typeable,?3,99.99%,-,O3b,O3b,Typeable,?4!,99.59%,-
GCA_019927345.1,67b44236ce6d682e270f525b,GCA_019927345.1_ASM1992734v1_genomic,5704282,135,204,354757,42253,136505,0,57.1,Klebsiella pneumoniae,395,Novel,"0,0,106,0,3,0,7,*,*,*",395,395,Klebsiella pneumoniae,ybt 16; ICEKp12,-,-,-,-,-,ybt only,OXA-1,-,CTX-M-15,-,OXA-48,SHV-11,35Q,OmpK35-72%,-,GyrA-83I;ParC-80I,Carb without colistin,KL2,K2,Typeable,?2-,99.82%,KL2_03_wzi;KL2_04_wza,O1/O2v1,O1ab,Typeable,-,99.96%,-
GCA_019732565.1,67b44236ce6d683aa10f5254,GCA_019732565.1_ASM1973256v1_genomic,5253117,181,201,434507,29022,135794,473,57.3,Klebsiella pneumoniae,308,Novel,"0,0,93,0,0,*,*,*,*,*",308,308,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,-,-,-,SHV-1^,-,-,-,-,ESBL and Carb negative,KL38,K38,Typeable,-,99.53%,-,O1/O2v1,O1ab,Typeable,-,99.05%,-
GCA_019732505.1,67b44236ce6d683ae50f5251,GCA_019732505.1_ASM1973250v1_genomic,5415081,188,200,677530,28803,197357,388,57.4,Klebsiella pneumoniae,1411,Novel,"0,0,148,0,*,*,*,*,*,*",1411,10107,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,-,-,-,-,-,-,-,-,ESBL and Carb negative,KL61,K61,Typeable,?4,98.44%,-,O5,O5,Typeable,?3,98.61%,-
GCA_019927485.1,67b44236ce6d6841ee0f5261,GCA_019927485.1_ASM1992748v1_genomic,5459582,138,207,292710,39562,126507,0,57.3,Klebsiella pneumoniae,1835,Novel,"0,0,*,*,*,*,*,*,*,*",Not tested,Not tested,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,-,-,-,SHV-11^,35Q,-,-,-,ESBL and Carb negative,KL33,Capsule null,Untypeable,-+!,92.78%,KL33_18_wzy;KL33_10_wckL;KL33_14_manC;KL33_15_manB;KL33_13_wckK;KL33_19_wckJ;KL33_09_wckM;KL33_12_wzx;KL33_07_wzb;KL33_11_wcuQ;KL33_17_wcaJ,O3b,O3b,Typeable,-,99.50%,-
GCA_019927585.1,67b44236ce6d6843670f5266,GCA_019927585.1_ASM1992758v1_genomic,5728359,210,200,329783,27277,98836,0,56.7,Klebsiella pneumoniae,17,Novel,"0,0,22,12,*,*,*,*,*,*",17,1123,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,-,-,VIM-1,-,-,-,-,-,Carb without colistin,KL62,K62,Typeable,?3!,99.62%,-,O1/O2v2,O2afg,Typeable,?2,99.12%,-
GCA_019732515.1,67b44236ce6d68475d0f5252,GCA_019732515.1_ASM1973251v1_genomic,5321778,96,200,577699,55435,301412,489,57.5,Klebsiella pneumoniae,Novel,Novel,"0,0,828,*,*,*,*,*,*,*",10657,Not tested,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,-,-,-,SHV-65,-,-,-,-,ESBL and Carb negative,KL30,K30,Typeable,?4,99.66%,-,O3b,O3b,Typeable,?3,99.74%,-
GCA_019927605.1,67b44236ce6d684d850f5267,GCA_019927605.1_ASM1992760v1_genomic,5128579,100,201,263923,51285,122209,0,57.6,Klebsiella pneumoniae,200,Novel,"0,0,249,0,6,*,*,*,*,*",200,200,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,-,-,-,SHV-1^,-,-,-,-,ESBL and Carb negative,KL39,K39,Typeable,?3,98.56%,-,O3b,O3b,Typeable,?3,99.82%,-
GCA_019732555.1,67b44236ce6d684e750f5253,GCA_019732555.1_ASM1973255v1_genomic,5435454,133,204,767388,40868,331086,490,57.2,Klebsiella pneumoniae,Novel,Novel,"0,0,197,0,4,0,2,*,*,*",147,147,Klebsiella pneumoniae,ybt 16; ICEKp12,-,-,-,-,-,ybt only,OXA-1;TEM-1D.v1^,-,CTX-M-15,-,-,SHV-11^,35Q,OmpK35-7%,-,GyrA-83I;ParC-80I,ESBL only,KL64,K64,Typeable,-,100.00%,-,O1/O2v1,O1a,Typeable,-,99.03%,-
GCA_019927625.1,67b44236ce6d684fd30f5268,GCA_019927625.1_ASM1992762v1_genomic,5781812,134,201,452329,43147,225751,0,56.7,Klebsiella pneumoniae,15,Novel,"0,0,0,0,2,0,30,*,*,*",15,15,Klebsiella pneumoniae,ybt 9; ICEKp3,-,-,-,-,-,ybt only,DHA-1;OXA-1;TEM-1D.v1^,-,CTX-M-15,-,NDM-1,SHV-28^,-,OmpK35-87%,-,GyrA-83F;GyrA-87A;ParC-80I,Carb without colistin,KL112,unknown (KL112),Typeable,-,99.53%,-,O1/O2v1,O1ab,Typeable,-,99.19%,-
GCA_019927535.1,67b44236ce6d685aff0f5264,GCA_019927535.1_ASM1992753v1_genomic,5481244,130,203,389225,42163,122680,0,57.1,Klebsiella pneumoniae,987,Novel,"0,0,158,25,1,0,0,0,*,*",45,12251,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,-,-,-,SHV-27^,156D,-,-,-,ESBL and Carb negative,KL46,K46,Typeable,?3,99.42%,-,O3b,O3b,Typeable,?2,99.92%,-
GCA_019732495.1,67b44236ce6d685dde0f5250,GCA_019732495.1_ASM1973249v1_genomic,5454519,697,200,1508916,7825,327618,492,57.1,Klebsiella pneumoniae,Novel,Novel,"0,0,261,0,*,*,*,*,*,*",716,716,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,-,-,-,SHV-27,156D,-,-,-,ESBL and Carb negative,KL110,unknown (KL110),Typeable,-,99.69%,-,O1/O2v1,O2a,Typeable,-,99.12%,-
GCA_019927265.1,67b44236ce6d68769f0f5256,GCA_019927265.1_ASM1992726v1_genomic,5630496,140,215,426300,40217,137179,0,57.1,Klebsiella pneumoniae,258,Novel,"0,0,105,6,0,*,*,*,*,*",258,258,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,SHV-12,-,KPC-2,-,238S;240K;35Q,OmpK35-25%,MgrB-53%,GyrA-83I;ParC-80I,Carb with colistin,KL107,unknown (KL107),Typeable,-,99.95%,-,O1/O2v2,O2afg,Typeable,-,99.06%,-
GCA_019927425.1,67b44236ce6d687ce50f525e,GCA_019927425.1_ASM1992742v1_genomic,5462968,69,209,507380,79173,319483,0,57.3,Klebsiella pneumoniae,485,Novel,"0,0,158,8,*,*,*,*,*,*",45,45,Klebsiella pneumoniae,ybt 10; ICEKp4,-,-,-,-,-,ybt only,TEM-1D.v1^,-,-,-,-,SHV-1,-,-,-,-,ESBL and Carb negative,KL183,unknown (KL183),Typeable,?3+,98.35%,-,OL13,O13,Typeable,?4+!,97.15%,-
GCA_019927315.1,67b44236ce6d68926d0f5259,GCA_019927315.1_ASM1992731v1_genomic,5899390,263,200,187688,22431,90472,0,56.6,Klebsiella pneumoniae,461,Novel,"0,0,178,4,*,*,*,*,*,*",461,461,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,-,-,-,SHV-1^,-,-,-,-,ESBL and Carb negative,KL62,K62,Typeable,?4!,99.65%,-,O1/O2v2,O1ab,Typeable,?2,99.14%,-
GCA_019927565.1,67b44236ce6d68a3350f5265,GCA_019927565.1_ASM1992756v1_genomic,5073313,88,200,274217,57651,118452,0,57.7,Klebsiella pneumoniae,198,Novel,"0,0,407,0,*,*,*,*,*,*",198,198,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,-,-,-,SHV-77^,35Q,-,-,-,ESBL and Carb negative,KL30,K30,Typeable,-,97.36%,-,O1/O2v1,O1ab,Typeable,-,98.97%,-
GCA_019927525.1,67b44236ce6d68ac500f5263,GCA_019927525.1_ASM1992752v1_genomic,5424678,93,236,484803,58329,279255,0,57.3,Klebsiella pneumoniae,340,19251,"0,0,105,0,11,0,0,17,0,0",258,340,Klebsiella pneumoniae,ybt 9; ICEKp3,-,-,-,-,-,ybt only,OXA-1;TEM-1D.v1^,-,CTX-M-15,-,NDM-7,SHV-11,35Q,-,-,GyrA-83I;ParC-80I,Carb without colistin,KL15,K15,Typeable,-,99.98%,-,O4,O4,Typeable,-,99.49%,-
GCA_000016305.1,67b44236ce6d68b2490f524e,GCA_000016305.1_ASM1630v1_genomic,5694894,6,3478,5315120,949149,5315120,0,57.1,Klebsiella pneumoniae,38,2,"0,0,184,0,2,0,0,0,0,0",38,38,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",TEM-1D.v1^;TEM-1D.v1^,-,SHV-12,-,-,SHV-11^,238S;240K;35Q;35Q,OmpK35-86%,-,GyrA-83Y,ESBL only,KL52,K52,Typeable,-,100.00%,-,OL13,O13,Typeable,!,96.58%,-
GCA_019927325.1,67b44236ce6d68bd2f0f525a,GCA_019927325.1_ASM1992732v1_genomic,5453746,179,213,253824,30467,99388,0,57.3,Klebsiella pneumoniae,380,Novel,"0,0,339,1,0,*,*,*,*,*",380,10118,Klebsiella pneumoniae,ybt 12; ICEKp10,clb 1,iuc 2,iro 2,rmp 2; KpVP-2,-,"iuc, ybt and clb",-,-,-,-,-,SHV-207,-,-,-,-,ESBL and Carb negative,KL2,K2,Typeable,-,99.80%,-,O1/O2v1,O1ab,Typeable,-,99.95%,-
GCA_019927465.1,67b44236ce6d68be630f5260,GCA_019927465.1_ASM1992746v1_genomic,5599539,130,202,436565,43073,114250,0,57,Klebsiella pneumoniae,70,Novel,"0,0,211,0,*,*,*,*,*,*",70,70,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",TEM-1D.v1^,-,CTX-M-55,-,-,SHV-32,156D,-,-,-,ESBL only,KL122,unknown (KL122),Typeable,-,99.86%,-,O1/O2v2,O1ab,Typeable,-,99.06%,-
GCA_019732615.1,67b44236ce6d68cb420f5255,GCA_019732615.1_ASM1973261v1_genomic,5614732,992,201,772677,5660,285305,470,57,Klebsiella pneumoniae,5392,Novel,"0,0,163,*,*,*,*,*,*,*",2118,Not tested,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,SHV-240^,-,-,-,-,35Q;69I,-,-,-,ESBL and Carb negative,KL46,K46,Typeable,?4,99.61%,-,O3b,O3b,Typeable,?3,99.69%,-
GCA_000281535.2,67b44236ce6d68e2090f524f,GCA_000281535.2_ASM28153v2_genomic,5766615,4,15096,5394056,1441653,5394056,0,57.2,Klebsiella pneumoniae,258,4310,"0,0,105,6,0,0,75,1,0,0",258,258,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",TEM-1D.v1^,-,-,-,KPC-3,SHV-11,35Q,OmpK35-25%;OmpK36GD,-,GyrA-83I;ParC-80I,Carb without colistin,KL107,unknown (KL107),Typeable,-,99.99%,-,OL13,O13,Untypeable,-,98.26%,OL13_09_glycosylhydrolase;OL13_07_wzt;OL13_05_wbbL;OL13_08_wbbB;OL13_06_wzm
GCA_900635995.1,67b44237ce6d6800b10f536f,GCA_900635995.1_38273_C01_genomic,5560297,4,23197,5306679,1390074,5306679,0,57.2,Klebsiella pneumoniae,375,46,"0,0,390,0,0,0,0,0,0,0",375,375,Klebsiella pneumoniae,-,-,iuc 1,iro 1,rmp 1; KpVP-1 (truncated),rmpA2_5-54%,iuc (without ybt or clb),-,-,-,-,-,SHV-1^,-,-,-,-,ESBL and Carb negative,KL2,Capsule null,Typeable,!,99.55%,-,O1/O2v2,O1ab,Typeable,!,99.29%,-
GCA_019928045.1,67b44237ce6d68011a0f527d,GCA_019928045.1_ASM1992804v1_genomic,5808587,182,204,327775,31915,100103,0,57,Klebsiella pneumoniae,23,Novel,"0,0,429,0,29,*,*,*,*,*",23,23,Klebsiella pneumoniae,ybt 1; ICEKp10,clb 2,-,-,-,-,clb + ybt (or clb only),-,-,CTX-M-14^;CTX-M-15,-,NDM-1;OXA-48,SHV-11^,35Q,-,-,-,Carb without colistin,KL1,K1,Typeable,-,99.99%,-,O1/O2v2,O1ab,Typeable,!,96.49%,-
GCA_901420515.1,67b44237ce6d6801cf0f5380,GCA_901420515.1_37430_D01_genomic,5573204,3,170922,5229977,1857734,5229977,0,57.1,Klebsiella pneumoniae,Novel,Novel,"0,0,*,*,*,*,*,*,*,*",Not tested,Not tested,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,-,-,-,-,-,OmpK35-72%,-,-,ESBL and Carb negative,KL63,Capsule null,Typeable,!,94.37%,-,O1/O2v2,O2afg,Typeable,!,98.94%,-
GCA_901420755.1,67b44237ce6d68022f0f5384,GCA_901420755.1_38977_E01_genomic,5280532,5,10789,5042538,1056106,5042538,0,57.3,Klebsiella pneumoniae,82,Novel,"0,0,438,0,*,*,*,*,*,*",82,82,Klebsiella pneumoniae,-,-,-,-,rmp 2A; plasmid/chr (truncated),-,"ybt, clb and iuc negative",-,-,-,-,-,-,-,-,-,-,ESBL and Carb negative,KL1,K1,Typeable,!,99.54%,-,O1/O2v1,O1ab,Typeable,-,99.28%,-
GCA_045261755.1,67b44237ce6d68025e0f52e9,GCA_045261755.1_ASM4526175v1_genomic,5321512,112,513,240183,47513,119148,0,57.3,Klebsiella pneumoniae,528,Novel,"0,0,253,0,*,*,*,*,*,*",528,528,Klebsiella pneumoniae,-,-,-,-,-,-,"ybt, clb and iuc negative",-,-,-,-,-,SHV-11^,35Q,-,-,-,ESBL and Carb negative,KL27,K27,Typeable,?2!,99.85%,-,O1/O2v2,O2afg,Typeable,-,99.02%,-
BAA-3062,67b44237ce6d6804170f53d6,Klebsiella_pneumoniae_ATCC_BAA_3062,5633815,6,5359,5408715,938969,5408715,0,57,Klebsiella pneumoniae,101,Novel,"0,0,84,0,8,0,0,*,*,*",101,101,Klebsiella pneumoniae,ybt 9; ICEKp3,-,-,-,-,-,ybt only,OXA-9.v1,-,CTX-M-15;CTX-M-15;CTX-M-15,-,OXA-48,SHV-1^,-,OmpK35-17%;OmpK36GD,-,GyrA-83Y;GyrA-87N;ParC-80I,Carb without colistin,KL17,K17,Typeable,-,100.00%,-,O1/O2v1,O1ab,Typeable,-,98.92%,-
