Assembly	Best match locus	Best match type	Confidence	Problems	Identity	Coverage	Length discrepancy	Expected genes in locus	Expected genes in locus, details	Missing expected genes	Other genes in locus	Other genes in locus, details	Expected genes outside locus	Expected genes outside locus, details	Other genes outside locus	Other genes outside locus, details	Truncated genes, details
GCA_019927465.1_ASM1992746v1_genomic	KL122	unknown (KL122)	Typeable		99.86%	100.00%	0 bp	19 / 19 (100.00%)	KL122_01_galF,100.00%,100.00%;KL122_02_cpsACP,99.04%,100.00%;KL122_03_wzi,99.79%,100.00%;KL122_04_wza,100.00%,100.00%;KL122_05_wzb,100.00%,100.00%;KL122_06_wzc,99.72%,100.00%;KL122_07_wzy,99.51%,100.00%;KL122_08_wcuC,100.00%,100.00%;KL122_09_wckM,99.74%,100.00%;KL122_10_wcuQ,100.00%,100.00%;KL122_11_wcuD,100.00%,100.00%;KL122_12,100.00%,100.00%;KL122_13_wzx,99.76%,100.00%;KL122_14_wbaZ,100.00%,100.00%;KL122_15_wcaJ,100.00%,100.00%;KL122_16_gnd,100.00%,100.00%;KL122_17_manC,100.00%,100.00%;KL122_18_manB,99.78%,100.00%;KL122_19_ugd,100.00%,100.00%		0		0 / 19 (0.00%)		4	KL40_03_wcpO,99.19%,100.00%;KL40_04,99.00%,100.00%;KL40_05_rfaG,99.74%,100.00%;KL150_19_gmd,99.09%,98.20%	
GCA_019927485.1_ASM1992748v1_genomic	KL33	Capsule null	Untypeable	-+!	92.78%	41.70%	3509 bp	10 / 21 (47.62%)	KL33_01_galF,99.33%,100.00%;KL33_02_cpsACP,100.00%,100.00%;KL33_03,97.25%,100.00%;KL33_04,97.57%,100.00%;KL33_05,97.70%,100.00%;KL33_06_wza,91.24%,91.71%,truncated;KL33_08_wzc,65.15%,51.45%,truncated,below_id_threshold;KL33_16_wbaZ,85.71%,71.33%,truncated;KL33_20_gnd,98.50%,99.57%;KL33_21_ugd,95.36%,100.00%	KL33_07_wzb;KL33_09_wckM;KL33_10_wckL;KL33_11_wcuQ;KL33_12_wzx;KL33_13_wckK;KL33_14_manC;KL33_15_manB;KL33_17_wcaJ;KL33_18_wzy;KL33_19_wckJ	12	KL65_05_wzb,88.28%,100.00%;KL65_07_wzy,83.89%,99.05%;KL65_09_wcuE,78.09%,98.18%,below_id_threshold;KL65_12_wcaJ,88.60%,100.00%;KL65_13_wzx,86.21%,99.32%;KL65_14_wcuN,83.77%,99.74%;KL107_14,90.20%,100.00%;KL162_17_rmlA,97.92%,100.00%;KL144_19_manC,94.27%,100.00%;KL128_19_rmlB,95.48%,100.00%;KL32_19_rmlC,95.08%,99.46%;KL144_20_manB,91.89%,100.00%	0 / 21 (0.00%)		5	KL50_09_wzx,100.00%,22.54%,truncated;KL50_10,99.05%,100.00%;KL150_19_gmd,93.90%,98.20%;KL30_19_manB,99.35%,98.29%;KL16_20_manC,99.79%,100.00%	KL33_06_wza,91.24%,91.71%,truncated;KL33_08_wzc,65.15%,51.45%,truncated,below_id_threshold;KL33_16_wbaZ,85.71%,71.33%,truncated;KL50_09_wzx,100.00%,22.54%,truncated
GCA_019927505.1_ASM1992750v1_genomic	KL14	K14	Typeable	?3!	99.98%	99.93%	n/a	25 / 25 (100.00%)	KL14_01_galF,100.00%,100.00%;KL14_02_cpsACP,100.00%,100.00%;KL14_03_wzi,100.00%,100.00%;KL14_04_wza,100.00%,100.00%;KL14_05_wzb,100.00%,100.00%;KL14_06_wzc,100.00%,100.00%;KL14_07,100.00%,100.00%;KL14_08_wzx,100.00%,100.00%;KL14_09,100.00%,100.00%;KL14_10,100.00%,100.00%;KL14_11,100.00%,100.00%;KL14_12,100.00%,100.00%;KL14_13,100.00%,100.00%;KL14_14,100.00%,100.00%;KL14_15,100.00%,100.00%;KL14_16,100.00%,100.00%;KL14_17_wcaJ,100.00%,100.00%;KL14_18_gnd,100.00%,100.00%;KL14_19_manC,100.00%,98.73%,partial;KL14_20_manB,100.00%,7.91%,truncated;KL14_20_manB,99.77%,91.88%,partial;KL14_21_rmlB,100.00%,100.00%;KL14_22_rmlA,100.00%,100.00%;KL14_23_rmlD,100.00%,100.00%;KL14_24_rmlC,100.00%,100.00%;KL14_25_ugd,99.74%,100.00%		0		0 / 25 (0.00%)		4	KL50_09_wzx,100.00%,22.54%,truncated;KL50_10,99.81%,100.00%;KL28_18_manB,96.55%,6.36%,partial;KL150_19_gmd,99.70%,100.00%	KL14_20_manB,100.00%,7.91%,truncated;KL50_09_wzx,100.00%,22.54%,truncated
GCA_019927525.1_ASM1992752v1_genomic	KL15	K15	Typeable		99.98%	100.00%	1085 bp	16 / 16 (100.00%)	KL15_01_galF,100.00%,100.00%;KL15_02_cpsACP,100.00%,100.00%;KL15_03_wzi,100.00%,100.00%;KL15_04_wza,100.00%,100.00%;KL15_05_wzb,100.00%,100.00%;KL15_06_wzc,100.00%,100.00%;KL15_07_wcaJ,100.00%,100.00%;KL15_08_wceN,100.00%,100.00%;KL15_09_wceM,100.00%,100.00%;KL15_10_wcsR,100.00%,100.00%;KL15_11_wcaN,100.00%,100.00%;KL15_12_wzy,100.00%,100.00%;KL15_13_wckI,99.73%,100.00%;KL15_14_wzx,100.00%,100.00%;KL15_15_gnd,100.00%,100.00%;KL15_16_ugd,100.00%,100.00%		0		0 / 16 (0.00%)		3	KL104_16_wzx,98.07%,100.00%;KL104_17,98.63%,100.00%;KL150_19_gmd,89.91%,97.90%	
GCA_019927535.1_ASM1992753v1_genomic	KL46	K46	Typeable	?3!	99.42%	99.88%	n/a	20 / 20 (100.00%)	KL46_01_galF,99.66%,100.00%;KL46_02_cpsACP,93.30%,100.00%;KL46_03_wzi,97.91%,100.00%;KL46_04_wza,100.00%,100.00%;KL46_05_wzb,100.00%,100.00%;KL46_06_wzc,99.86%,100.00%;KL46_07_wcaJ,100.00%,100.00%;KL46_08_wcuD,99.74%,100.00%;KL46_09_wzy,100.00%,100.00%;KL46_10_wcuC,99.75%,100.00%;KL46_11_wcuI,100.00%,100.00%;KL46_12_wcuF,99.73%,100.00%;KL46_13_wcuV,99.70%,100.00%;KL46_14_wclT,100.00%,100.00%;KL46_15_wzx,99.80%,100.00%;KL46_16_wckQ,99.64%,100.00%;KL46_17_gnd,99.79%,100.00%;KL46_18_manC,99.35%,98.09%,partial;KL46_19_manB,100.00%,7.02%,partial;KL46_19_manB,99.76%,92.76%,partial;KL46_20_ugd,99.74%,100.00%		0		0 / 20 (0.00%)		4	KL50_09_wzx,100.00%,22.54%,truncated;KL50_10,99.81%,100.00%;KL28_18_manB,95.83%,5.26%,partial;KL150_19_gmd,99.10%,100.00%	KL50_09_wzx,100.00%,22.54%,truncated
GCA_019927565.1_ASM1992756v1_genomic	KL30	K30	Typeable		97.36%	99.98%	-1 bp	20 / 20 (100.00%)	KL30_01_galF,99.33%,100.00%;KL30_02_cpsACP,99.52%,100.00%;KL30_03_wzi,99.40%,100.00%;KL30_04_wza,100.00%,100.00%;KL30_05_wzb,99.30%,100.00%;KL30_06_wzc,99.03%,100.00%;KL30_07_wcuL,100.00%,100.00%;KL30_08_wzx,100.00%,100.00%;KL30_09_wcuD,97.39%,100.00%;KL30_10_wzy,93.14%,100.00%;KL30_11_wckP,91.99%,100.00%;KL30_12_wckO,93.57%,100.00%;KL30_13_wckN,92.52%,100.00%;KL30_14,94.33%,99.82%;KL30_15_wcuG,91.53%,100.00%;KL30_16_wcaJ,98.06%,100.00%;KL30_17_gnd,99.36%,100.00%;KL30_18_manC,99.15%,100.00%;KL30_19_manB,99.79%,100.00%;KL30_20_ugd,99.74%,100.00%		0		0 / 20 (0.00%)		2	KL40_05_rfaG,98.91%,96.58%;KL150_19_gmd,98.80%,100.00%	
GCA_019927585.1_ASM1992758v1_genomic	KL62	K62	Typeable	?3!	99.62%	100.02%	n/a	19 / 19 (100.00%)	KL62_01_galF,100.00%,100.00%;KL62_02_cpsACP,97.13%,100.00%;KL62_03_wzi,100.00%,100.00%;KL62_04_wza,100.00%,100.00%;KL62_05_wzb,100.00%,100.00%;KL62_06_wzc,99.72%,100.00%;KL62_07_wbaP,99.79%,100.00%;KL62_08,99.48%,100.00%;KL62_09,99.42%,100.00%;KL62_10,100.00%,100.00%;KL62_11_wzy,99.48%,100.00%;KL62_12,100.00%,9.84%,truncated;KL62_12,100.00%,8.57%,truncated;KL62_13,98.89%,100.00%;KL62_14,99.74%,100.00%;KL62_15_wzx,100.00%,100.00%;KL62_16_gnd,100.00%,100.00%;KL62_17_manC,99.79%,100.00%;KL62_18_manB,99.56%,100.00%;KL62_19_ugd,99.48%,100.00%		0		0 / 19 (0.00%)		4	KL40_03_wcpO,99.80%,100.00%;KL40_04,99.75%,100.00%;KL40_05_rfaG,100.00%,100.00%;KL150_19_gmd,100.00%,100.00%	KL62_12,100.00%,9.84%,truncated;KL62_12,100.00%,8.57%,truncated
GCA_019927605.1_ASM1992760v1_genomic	KL39	K39	Typeable	?3!	99.70%	100.00%	n/a	20 / 20 (100.00%)	KL39_01_galF,100.00%,100.00%;KL39_02_cpsACP,96.65%,100.00%;KL39_03_wzi,99.16%,100.00%;KL39_04_wza,100.00%,100.00%;KL39_05_wzb,100.00%,100.00%;KL39_06_wzc,99.72%,100.00%;KL39_07,99.73%,100.00%;KL39_08_wzy,100.00%,100.00%;KL39_09_mshA,99.70%,100.00%;KL39_10_epsH,100.00%,100.00%;KL39_11_epsJ,99.70%,100.00%;KL39_12_wzx,100.00%,100.00%;KL39_13,100.00%,100.00%;KL39_14,99.38%,100.00%;KL39_15_wbaZ,99.74%,100.00%;KL39_16_wcaJ,100.00%,100.00%;KL39_17_gnd,99.79%,100.00%;KL39_18_manC,100.00%,4.88%,partial;KL39_18_manC,99.78%,94.90%,partial;KL39_19_manB,100.00%,3.29%,partial;KL39_19_manB,100.00%,96.49%,partial;KL39_20_ugd,100.00%,100.00%		0		0 / 20 (0.00%)		4	KL50_09_wzx,100.00%,22.54%,truncated;KL50_10,99.81%,100.00%;KL150_19_gmd,99.70%,100.00%;KL16_20_manC,100.00%,4.67%,truncated	KL50_09_wzx,100.00%,22.54%,truncated;KL16_20_manC,100.00%,4.67%,truncated
GCA_019927625.1_ASM1992762v1_genomic	KL112	unknown (KL112)	Typeable		99.53%	100.00%	0 bp	18 / 18 (100.00%)	KL112_01_galF,100.00%,100.00%;KL112_02_cpsACP,99.52%,100.00%;KL112_03_wzi,97.06%,100.00%;KL112_04_wza,100.00%,100.00%;KL112_05_wzb,99.31%,100.00%;KL112_06_wzc,99.72%,100.00%;KL112_07_wbaP,100.00%,100.00%;KL112_08,99.51%,100.00%;KL112_09_wzy,99.25%,100.00%;KL112_10_wcaO,100.00%,100.00%;KL112_11_wcaN,100.00%,100.00%;KL112_12_wbaZ,98.96%,100.00%;KL112_13_wcuV,99.70%,100.00%;KL112_14_wzx,99.58%,100.00%;KL112_15_gnd,100.00%,100.00%;KL112_16_manC,99.58%,100.00%;KL112_17_manB,99.78%,100.00%;KL112_18_ugd,99.48%,100.00%		0		0 / 18 (0.00%)		2	KL40_05_rfaG,98.42%,99.74%;KL150_19_gmd,99.70%,100.00%	
GCA_019927645.1_ASM1992764v1_genomic	KL51	K51	Typeable	?2!	99.69%	99.99%	n/a	16 / 16 (100.00%)	KL51_01_galF,99.33%,100.00%;KL51_02_cpsACP,100.00%,100.00%;KL51_03_wzi,99.79%,100.00%;KL51_04_wza,100.00%,100.00%;KL51_05_wzb,100.00%,100.00%;KL51_06_wzc,99.72%,100.00%;KL51_07_wcaJ,99.79%,100.00%;KL51_08_wcpB,100.00%,100.00%;KL51_09_wzy,98.90%,100.00%;KL51_10_wcuF,99.18%,100.00%;KL51_11_wcpA,99.73%,100.00%;KL51_12_wzx,100.00%,100.00%;KL51_13,99.88%,100.00%;KL51_14_wcoZ,100.00%,24.15%,truncated;KL51_15_gnd,99.57%,100.00%;KL51_16_ugd,99.23%,100.00%		0		0 / 16 (0.00%)		4	KL40_03_wcpO,98.99%,100.00%;KL40_04,99.75%,99.00%;KL40_05_rfaG,99.47%,100.00%;KL150_19_gmd,98.80%,100.00%	KL51_14_wcoZ,100.00%,24.15%,truncated
GCA_019927655.1_ASM1992765v1_genomic	KL14	K14	Typeable	?3!	99.87%	99.99%	n/a	25 / 25 (100.00%)	KL14_01_galF,99.66%,100.00%;KL14_02_cpsACP,100.00%,100.00%;KL14_03_wzi,100.00%,100.00%;KL14_04_wza,100.00%,100.00%;KL14_05_wzb,100.00%,100.00%;KL14_06_wzc,99.86%,100.00%;KL14_07,99.71%,100.00%;KL14_08_wzx,100.00%,100.00%;KL14_09,99.66%,100.00%;KL14_10,99.69%,100.00%;KL14_11,100.00%,100.00%;KL14_12,100.00%,100.00%;KL14_13,99.41%,100.00%;KL14_14,99.63%,100.00%;KL14_15,100.00%,100.00%;KL14_16,99.71%,100.00%;KL14_17_wcaJ,100.00%,100.00%;KL14_18_gnd,100.00%,100.00%;KL14_19_manC,100.00%,84.71%,partial;KL14_19_manC,100.00%,15.29%,partial;KL14_20_manB,100.00%,38.03%,truncated;KL14_20_manB,99.65%,61.75%,partial;KL14_21_rmlB,100.00%,100.00%;KL14_22_rmlA,100.00%,100.00%;KL14_23_rmlD,100.00%,100.00%;KL14_24_rmlC,100.00%,100.00%;KL14_25_ugd,99.48%,100.00%		0		2 / 25 (8.00%)	KL14_19_manC,100.00%,84.50%,truncated;KL14_20_manB,100.00%,33.97%,partial	3	KL50_09_wzx,100.00%,22.54%,truncated;KL50_10,99.24%,100.00%;KL150_19_gmd,99.70%,100.00%	KL14_20_manB,100.00%,38.03%,truncated;KL14_19_manC,100.00%,84.50%,truncated;KL50_09_wzx,100.00%,22.54%,truncated
GCA_019927685.1_ASM1992768v1_genomic	KL102	unknown (KL102)	Typeable		99.66%	100.00%	-1 bp	17 / 17 (100.00%)	KL102_01_galF,98.99%,100.00%;KL102_02_cpsACP,99.04%,100.00%;KL102_03_wzi,100.00%,100.00%;KL102_04_wza,100.00%,100.00%;KL102_05_wzb,100.00%,100.00%;KL102_06_wzc,99.72%,100.00%;KL102_07_wbaP,99.36%,100.00%;KL102_08_wzy,99.54%,100.00%;KL102_09,99.31%,100.00%;KL102_10,99.64%,100.00%;KL102_11,99.43%,100.00%;KL102_12,99.72%,100.00%;KL102_13,100.00%,100.00%;KL102_14,100.00%,100.00%;KL102_15_wzx,100.00%,100.00%;KL102_16_gnd,100.00%,100.00%;KL102_17_ugd,99.48%,100.00%		0		0 / 17 (0.00%)		4	KL40_03_wcpO,99.19%,100.00%;KL40_04,99.25%,100.00%;KL40_05_rfaG,99.74%,100.00%;KL150_19_gmd,98.50%,100.00%	
GCA_019927705.1_ASM1992770v1_genomic	KL2	K2	Typeable		99.56%	100.00%	1 bp	18 / 18 (100.00%)	KL2_01_galF,99.33%,100.00%;KL2_02_cpsACP,99.04%,100.00%;KL2_03_wzi,98.61%,100.00%;KL2_04_wza,100.00%,100.00%;KL2_05_wzb,100.00%,100.00%;KL2_06_wzc,99.86%,100.00%;KL2_07,99.72%,100.00%;KL2_08,100.00%,100.00%;KL2_09,99.74%,100.00%;KL2_10,100.00%,100.00%;KL2_11_wzx,99.38%,100.00%;KL2_12,99.48%,100.00%;KL2_13,99.10%,100.00%;KL2_14_wcaJ,99.78%,100.00%;KL2_15_gnd,98.93%,100.00%;KL2_16_manC,99.36%,100.00%;KL2_17_manB,99.78%,100.00%;KL2_18_ugd,100.00%,100.00%		0		0 / 18 (0.00%)		4	KL40_03_wcpO,98.38%,100.00%;KL40_04,99.25%,100.00%;KL40_05_rfaG,99.74%,100.00%;KL150_19_gmd,99.10%,100.00%	
