Assembly	Best match locus	Best match type	Confidence	Problems	Identity	Coverage	Length discrepancy	Expected genes in locus	Expected genes in locus, details	Missing expected genes	Other genes in locus	Other genes in locus, details	Expected genes outside locus	Expected genes outside locus, details	Other genes outside locus	Other genes outside locus, details	Truncated genes, details
GCA_019927465.1_ASM1992746v1_genomic	O1/O2v2	O1ab	Typeable		99.06%	100.00%	0 bp	10 / 10 (100.00%)	O1/O2v2_01_wzm,100.00%,100.00%;O1/O2v2_02_wzt,99.19%,100.00%;O1/O2v2_03_wbbM,98.73%,100.00%;O1/O2v2_04_glf,98.96%,100.00%;O1/O2v2_05_wbbN,98.99%,100.00%;O1/O2v2_06_wbbO,99.47%,100.00%;O1/O2v2_07_kfoC,98.51%,100.00%;O1/O2v2_08_gmlC,97.33%,100.00%;O1/O2v2_09_gmlB,99.39%,100.00%;O1/O2v2_10_gmlA,100.00%,100.00%		0		0 / 10 (0.00%)		4	OL104_01_manC,91.30%,100.00%;O5_02_manB,93.02%,96.94%;Extra_genes_wbbYZ_01_wbbY,99.86%,100.00%;Extra_genes_wbbYZ_02_wbbZ,99.63%,100.00%	
GCA_019927485.1_ASM1992748v1_genomic	O3b	O3b	Typeable		99.50%	100.00%	0 bp	8 / 8 (100.00%)	O3b_01_manC,100.00%,100.00%;O3b_02_manB,99.35%,100.00%;O3b_03_wzm,99.23%,100.00%;O3b_04_wzt,98.38%,100.00%;O3b_05_wbdD,99.42%,100.00%;O3b_06_wbdA,99.88%,100.00%;O3b_07_wbdB,99.74%,100.00%;O3b_08_wbdC,100.00%,100.00%		0		0 / 8 (0.00%)		4	O12_01_rfbB,93.48%,100.00%;OL102_02_rfbA,95.04%,97.58%;OL13_03_rfbD,90.20%,100.00%;O12_04_rfbC,92.82%,98.37%	
GCA_019927505.1_ASM1992750v1_genomic	O3b	O3b	Typeable	?2	99.88%	99.85%	n/a	8 / 8 (100.00%)	O3b_01_manC,100.00%,98.73%,partial;O3b_02_manB,100.00%,8.91%,partial;O3b_02_manB,100.00%,90.87%,partial;O3b_03_wzm,100.00%,100.00%;O3b_04_wzt,100.00%,100.00%;O3b_05_wbdD,100.00%,100.00%;O3b_06_wbdA,100.00%,100.00%;O3b_07_wbdB,98.95%,100.00%;O3b_08_wbdC,100.00%,100.00%		0		0 / 8 (0.00%)		4	O12_01_rfbB,98.58%,99.72%;OL13_02_rfbA,97.54%,98.62%;OL13_03_rfbD,98.31%,100.00%;O12_04_rfbC,97.79%,98.37%	
GCA_019927525.1_ASM1992752v1_genomic	O4	O4	Typeable		99.49%	100.00%	0 bp	5 / 6 (83.33%)	O4_01_hydrolase,99.50%,100.00%;O4_02_hypothetical,99.75%,100.00%;O4_03_hypothetical,99.43%,100.00%;O4_04_wzt,100.00%,100.00%;O4_05_wzm,98.77%,100.00%;O4_06_glycosyltransferase,99.48%,100.00%		0		0 / 6 (0.00%)		0		
GCA_019927535.1_ASM1992753v1_genomic	O3b	O3b	Typeable	?2	99.92%	99.77%	n/a	8 / 8 (100.00%)	O3b_01_manC,99.78%,98.09%,partial;O3b_02_manB,100.00%,7.83%,partial;O3b_02_manB,99.76%,91.96%,partial;O3b_03_wzm,100.00%,100.00%;O3b_04_wzt,100.00%,100.00%;O3b_05_wbdD,100.00%,100.00%;O3b_06_wbdA,100.00%,100.00%;O3b_07_wbdB,99.74%,100.00%;O3b_08_wbdC,100.00%,100.00%		0		0 / 8 (0.00%)		0		
GCA_019927565.1_ASM1992756v1_genomic	O1/O2v1	O1ab	Typeable		98.97%	99.99%	-3 bp	7 / 7 (100.00%)	O1/O2v1_01_wzm,100.00%,100.00%;O1/O2v1_02_wzt,99.59%,100.00%;O1/O2v1_03_wbbM,99.37%,100.00%;O1/O2v1_04_glf,98.44%,100.00%;O1/O2v1_05_wbbN,99.66%,100.00%;O1/O2v1_06_wbbO,98.94%,100.00%;O1/O2v1_07_kfoC,96.80%,100.00%		0		0 / 7 (0.00%)		4	O3b_01_manC,99.58%,100.00%;O3/O3a_02_manB,99.78%,97.39%;Extra_genes_wbbYZ_02_wbbZ,99.63%,100.00%;Extra_genes_wbbYZ_01_wbbY,99.73%,100.00%	
GCA_019927585.1_ASM1992758v1_genomic	O1/O2v2	O2afg	Typeable	?2	99.12%	100.00%	n/a	10 / 10 (100.00%)	O1/O2v2_01_wzm,99.61%,100.00%;O1/O2v2_02_wzt,99.19%,100.00%;O1/O2v2_03_wbbM,98.57%,100.00%;O1/O2v2_04_glf,99.22%,100.00%;O1/O2v2_05_wbbN,98.99%,100.00%;O1/O2v2_06_wbbO,99.73%,100.00%;O1/O2v2_07_kfoC,99.25%,100.00%;O1/O2v2_08_gmlC,97.53%,100.00%;O1/O2v2_09_gmlB,99.08%,100.00%;O1/O2v2_10_gmlA,100.00%,100.00%		0		0 / 10 (0.00%)		2	O3b_01_manC,100.00%,100.00%;O3/O3a_02_manB,99.78%,97.39%	
GCA_019927605.1_ASM1992760v1_genomic	O3b	O3b	Typeable	?3!	99.82%	99.98%	n/a	8 / 8 (100.00%)	O3b_01_manC,100.00%,4.67%,truncated;O3b_01_manC,100.00%,94.90%,partial;O3b_02_manB,100.00%,4.13%,partial;O3b_02_manB,99.77%,95.65%,partial;O3b_03_wzm,99.23%,100.00%;O3b_04_wzt,99.77%,100.00%;O3b_05_wbdD,100.00%,100.00%;O3b_06_wbdA,99.64%,100.00%;O3b_07_wbdB,99.74%,100.00%;O3b_08_wbdC,100.00%,100.00%		0		0 / 8 (0.00%)		0		O3b_01_manC,100.00%,4.67%,truncated
GCA_019927625.1_ASM1992762v1_genomic	O1/O2v1	O1ab	Typeable		99.19%	100.00%	0 bp	7 / 7 (100.00%)	O1/O2v1_01_wzm,100.00%,100.00%;O1/O2v1_02_wzt,99.59%,100.00%;O1/O2v1_03_wbbM,99.37%,100.00%;O1/O2v1_04_glf,99.22%,100.00%;O1/O2v1_05_wbbN,98.32%,100.00%;O1/O2v1_06_wbbO,99.20%,100.00%;O1/O2v1_07_kfoC,98.63%,100.00%		0		0 / 7 (0.00%)		4	O3b_01_manC,99.58%,100.00%;O3/O3a_02_manB,99.55%,97.39%;Extra_genes_wbbYZ_02_wbbZ,100.00%,100.00%;Extra_genes_wbbYZ_01_wbbY,100.00%,100.00%	
GCA_019927645.1_ASM1992764v1_genomic	O1/O2v2	O1ab	Typeable	?2	98.95%	99.87%	n/a	10 / 10 (100.00%)	O1/O2v2_01_wzm,100.00%,100.00%;O1/O2v2_02_wzt,99.19%,100.00%;O1/O2v2_03_wbbM,98.73%,100.00%;O1/O2v2_04_glf,98.96%,100.00%;O1/O2v2_05_wbbN,97.98%,100.00%;O1/O2v2_06_wbbO,99.73%,100.00%;O1/O2v2_07_kfoC,99.25%,99.00%;O1/O2v2_08_gmlC,97.12%,100.00%;O1/O2v2_09_gmlB,99.39%,100.00%;O1/O2v2_10_gmlA,99.20%,100.00%		0		0 / 10 (0.00%)		2	Extra_genes_wbbYZ_01_wbbY,99.86%,100.00%;Extra_genes_wbbYZ_02_wbbZ,99.26%,100.00%	
GCA_019927655.1_ASM1992765v1_genomic	O3b	O3b	Typeable	?4!	99.64%	110.18%	n/a	8 / 8 (100.00%)	O3b_01_manC,100.00%,84.71%,partial;O3b_01_manC,100.00%,84.50%,truncated;O3b_01_manC,100.00%,15.29%,partial;O3b_02_manB,99.45%,39.57%,partial;O3b_02_manB,100.00%,60.22%,partial;O3b_03_wzm,99.23%,100.00%;O3b_04_wzt,98.61%,100.00%;O3b_05_wbdD,99.56%,100.00%;O3b_06_wbdA,99.76%,100.00%;O3b_07_wbdB,99.48%,100.00%;O3b_08_wbdC,100.00%,100.00%		0		1 / 8 (12.50%)	O3b_02_manB,99.39%,35.43%,partial	4	O12_01_rfbB,98.58%,99.72%;OL13_02_rfbA,97.54%,98.62%;OL13_03_rfbD,98.31%,100.00%;O12_04_rfbC,97.79%,98.37%	O3b_01_manC,100.00%,84.50%,truncated
GCA_019927685.1_ASM1992768v1_genomic	O1/O2v2	O2afg	Typeable		99.06%	100.00%	0 bp	10 / 10 (100.00%)	O1/O2v2_01_wzm,100.00%,100.00%;O1/O2v2_02_wzt,99.19%,100.00%;O1/O2v2_03_wbbM,98.57%,100.00%;O1/O2v2_04_glf,98.96%,100.00%;O1/O2v2_05_wbbN,98.99%,100.00%;O1/O2v2_06_wbbO,99.47%,100.00%;O1/O2v2_07_kfoC,98.76%,100.00%;O1/O2v2_08_gmlC,97.33%,100.00%;O1/O2v2_09_gmlB,99.39%,100.00%;O1/O2v2_10_gmlA,100.00%,100.00%		0		0 / 10 (0.00%)		0		
GCA_019927705.1_ASM1992770v1_genomic	O1/O2v2	O1ab	Typeable		99.48%	99.97%	0 bp	10 / 10 (100.00%)	O1/O2v2_01_wzm,100.00%,100.00%;O1/O2v2_02_wzt,99.59%,100.00%;O1/O2v2_03_wbbM,99.52%,100.00%;O1/O2v2_04_glf,98.96%,100.00%;O1/O2v2_05_wbbN,98.99%,100.00%;O1/O2v2_06_wbbO,100.00%,100.00%;O1/O2v2_07_kfoC,99.75%,100.00%;O1/O2v2_08_gmlC,99.38%,100.00%;O1/O2v2_09_gmlB,99.39%,100.00%;O1/O2v2_10_gmlA,99.20%,100.00%		0		0 / 10 (0.00%)		4	O3/O3a_01_manC,99.58%,100.00%;O3/O3a_02_manB,99.78%,97.39%;Extra_genes_wbbYZ_02_wbbZ,99.63%,100.00%;Extra_genes_wbbYZ_01_wbbY,99.73%,100.00%	
GCA_019927725.1_ASM1992772v1_genomic	O5	O5	Typeable	?2	98.15%	99.77%	n/a	8 / 8 (100.00%)	O5_01_manC,99.35%,98.09%,partial;O5_02_manB,97.44%,8.52%,partial;O5_02_manB,99.52%,91.27%,partial;O5_03_wzm,99.24%,100.00%;O5_04_wzt,98.76%,100.00%;O5_05_wbdD,94.35%,100.00%;O5_06_wbdA,95.47%,100.00%;O5_07_wbdB,99.22%,100.00%;O5_08_wbdC,100.00%,100.00%		0		1 / 8 (12.50%)	O5_02_manB,96.43%,6.11%,partial	0		
GCA_019927745.1_ASM1992774v1_genomic	O3b	O3b	Typeable	?2	99.65%	99.83%	n/a	8 / 8 (100.00%)	O3b_01_manC,99.78%,98.51%,partial;O3b_02_manB,100.00%,4.13%,partial;O3b_02_manB,99.32%,95.65%,partial;O3b_03_wzm,99.23%,100.00%;O3b_04_wzt,99.54%,100.00%;O3b_05_wbdD,99.71%,100.00%;O3b_06_wbdA,99.52%,100.00%;O3b_07_wbdB,99.74%,100.00%;O3b_08_wbdC,100.00%,100.00%		0		0 / 8 (0.00%)		0		
GCA_019927765.1_ASM1992776v1_genomic	O1/O2v1	O2a	Typeable		99.41%	100.00%	0 bp	7 / 7 (100.00%)	O1/O2v1_01_wzm,99.61%,100.00%;O1/O2v1_02_wzt,100.00%,100.00%;O1/O2v1_03_wbbM,99.52%,100.00%;O1/O2v1_04_glf,98.44%,100.00%;O1/O2v1_05_wbbN,100.00%,100.00%;O1/O2v1_06_wbbO,99.20%,100.00%;O1/O2v1_07_kfoC,99.09%,100.00%		0		0 / 7 (0.00%)		2	O3b_01_manC,99.79%,100.00%;O3b_02_manB,99.55%,97.39%	
GCA_019927785.1_ASM1992778v1_genomic	O1/O2v1	O2a	Typeable		99.47%	100.00%	-1 bp	7 / 7 (100.00%)	O1/O2v1_01_wzm,99.61%,100.00%;O1/O2v1_02_wzt,100.00%,100.00%;O1/O2v1_03_wbbM,99.84%,100.00%;O1/O2v1_04_glf,99.48%,100.00%;O1/O2v1_05_wbbN,100.00%,100.00%;O1/O2v1_06_wbbO,98.94%,100.00%;O1/O2v1_07_kfoC,98.40%,100.00%		0		0 / 7 (0.00%)		2	O3b_01_manC,99.79%,100.00%;O3/O3a_02_manB,99.33%,97.39%	
GCA_019927805.1_ASM1992780v1_genomic	O5	O5	Typeable	?3	98.43%	99.38%	n/a	8 / 8 (100.00%)	O5_01_manC,100.00%,4.67%,partial;O5_01_manC,99.11%,95.12%,partial;O5_02_manB,99.77%,94.76%,partial;O5_03_wzm,99.24%,100.00%;O5_04_wzt,98.51%,100.00%;O5_05_wbdD,94.35%,100.00%;O5_06_wbdA,95.38%,100.00%;O5_07_wbdB,99.48%,100.00%;O5_08_wbdC,100.00%,100.00%		0		0 / 8 (0.00%)		0		
GCA_019927825.1_ASM1992782v1_genomic	O1/O2v1	O1ab	Typeable		99.41%	100.00%	0 bp	7 / 7 (100.00%)	O1/O2v1_01_wzm,99.61%,100.00%;O1/O2v1_02_wzt,100.00%,100.00%;O1/O2v1_03_wbbM,99.52%,100.00%;O1/O2v1_04_glf,98.44%,100.00%;O1/O2v1_05_wbbN,100.00%,100.00%;O1/O2v1_06_wbbO,99.20%,100.00%;O1/O2v1_07_kfoC,99.09%,100.00%		0		0 / 7 (0.00%)		4	O3b_01_manC,99.79%,100.00%;O3b_02_manB,99.55%,96.52%;Extra_genes_wbbYZ_02_wbbZ,99.63%,100.00%;Extra_genes_wbbYZ_01_wbbY,99.73%,100.00%	
GCA_019927845.1_ASM1992784v1_genomic	O1/O2v1	O1ab	Typeable	?2	99.25%	100.04%	n/a	7 / 7 (100.00%)	O1/O2v1_01_wzm,99.61%,100.00%;O1/O2v1_02_wzt,100.00%,100.00%;O1/O2v1_03_wbbM,99.84%,100.00%;O1/O2v1_04_glf,100.00%,23.44%,partial;O1/O2v1_04_glf,99.32%,76.56%,partial;O1/O2v1_05_wbbN,99.33%,100.00%;O1/O2v1_06_wbbO,98.41%,100.00%;O1/O2v1_07_kfoC,97.49%,100.00%		0		0 / 7 (0.00%)		4	O3/O3a_01_manC,99.58%,100.00%;O3b_02_manB,99.55%,97.39%;Extra_genes_wbbYZ_01_wbbY,100.00%,100.00%;Extra_genes_wbbYZ_02_wbbZ,99.63%,100.00%	
GCA_019927855.1_ASM1992785v1_genomic	O1/O2v2	O1ab	Typeable		99.18%	100.00%	0 bp	10 / 10 (100.00%)	O1/O2v2_01_wzm,100.00%,100.00%;O1/O2v2_02_wzt,99.59%,100.00%;O1/O2v2_03_wbbM,99.84%,100.00%;O1/O2v2_04_glf,98.96%,100.00%;O1/O2v2_05_wbbN,97.64%,100.00%;O1/O2v2_06_wbbO,99.73%,100.00%;O1/O2v2_07_kfoC,99.25%,100.00%;O1/O2v2_08_gmlC,98.77%,100.00%;O1/O2v2_09_gmlB,98.77%,100.00%;O1/O2v2_10_gmlA,99.20%,100.00%		0		0 / 10 (0.00%)		4	O3/O3a_01_manC,99.58%,100.00%;O3/O3a_02_manB,99.55%,97.39%;Extra_genes_wbbYZ_01_wbbY,99.46%,100.00%;Extra_genes_wbbYZ_02_wbbZ,99.63%,100.00%	
GCA_019927885.1_ASM1992788v1_genomic	O3b	O3b	Typeable	?2	99.71%	99.77%	n/a	8 / 8 (100.00%)	O3b_01_manC,99.78%,98.09%,partial;O3b_02_manB,100.00%,7.83%,partial;O3b_02_manB,99.76%,91.96%,partial;O3b_03_wzm,99.23%,100.00%;O3b_04_wzt,99.77%,100.00%;O3b_05_wbdD,99.71%,100.00%;O3b_06_wbdA,99.64%,100.00%;O3b_07_wbdB,99.48%,100.00%;O3b_08_wbdC,100.00%,100.00%		0		0 / 8 (0.00%)		0		
GCA_019927905.1_ASM1992790v1_genomic	O4	O4	Typeable		99.60%	100.00%	0 bp	5 / 6 (83.33%)	O4_01_hydrolase,99.83%,100.00%;O4_02_hypothetical,99.75%,100.00%;O4_03_hypothetical,99.72%,100.00%;O4_04_wzt,99.79%,100.00%;O4_05_wzm,98.77%,100.00%;O4_06_glycosyltransferase,99.74%,100.00%		0		0 / 6 (0.00%)		0		
GCA_019927925.1_ASM1992792v1_genomic	O1/O2v2	O2afg	Typeable	!	99.07%	99.99%	-1 bp	10 / 10 (100.00%)	O1/O2v2_01_wzm,100.00%,100.00%;O1/O2v2_02_wzt,99.19%,100.00%;O1/O2v2_03_wbbM,98.57%,100.00%;O1/O2v2_04_glf,98.96%,100.00%;O1/O2v2_05_wbbN,98.65%,100.00%;O1/O2v2_06_wbbO,99.47%,100.00%;O1/O2v2_07_kfoC,98.51%,100.00%;O1/O2v2_08_gmlC,97.33%,100.00%;O1/O2v2_09_gmlB,100.00%,24.23%,truncated;O1/O2v2_10_gmlA,100.00%,100.00%		0		0 / 10 (0.00%)		4	O12_01_rfbB,98.30%,99.72%;OL13_02_rfbA,98.25%,98.62%;OL13_03_rfbD,98.65%,100.00%;OL13_04_rfbC,97.79%,98.37%	O1/O2v2_09_gmlB,100.00%,24.23%,truncated
GCA_019927945.1_ASM1992794v1_genomic	O4	O4	Typeable	?2!	99.64%	100.12%	n/a	5 / 6 (83.33%)	O4_01_hydrolase,99.67%,100.00%;O4_02_hypothetical,100.00%,13.38%,truncated;O4_02_hypothetical,99.71%,87.37%,partial;O4_03_hypothetical,99.57%,100.00%;O4_04_wzt,100.00%,100.00%;O4_05_wzm,98.77%,100.00%;O4_06_glycosyltransferase,99.74%,100.00%		0		0 / 6 (0.00%)		0		O4_02_hypothetical,100.00%,13.38%,truncated
GCA_019927965.1_ASM1992796v1_genomic	O1/O2v1	O1ab	Typeable		98.97%	100.00%	0 bp	7 / 7 (100.00%)	O1/O2v1_01_wzm,100.00%,100.00%;O1/O2v1_02_wzt,99.59%,100.00%;O1/O2v1_03_wbbM,99.37%,100.00%;O1/O2v1_04_glf,98.18%,100.00%;O1/O2v1_05_wbbN,97.98%,100.00%;O1/O2v1_06_wbbO,99.47%,100.00%;O1/O2v1_07_kfoC,98.17%,100.00%		0		0 / 7 (0.00%)		4	O3b_01_manC,100.00%,100.00%;O3b_02_manB,99.32%,96.52%;Extra_genes_wbbYZ_01_wbbY,99.86%,100.00%;Extra_genes_wbbYZ_02_wbbZ,99.26%,100.00%	
GCA_019927985.1_ASM1992798v1_genomic	O1/O2v2	O1ab	Typeable		99.67%	100.00%	0 bp	10 / 10 (100.00%)	O1/O2v2_01_wzm,100.00%,100.00%;O1/O2v2_02_wzt,99.59%,100.00%;O1/O2v2_03_wbbM,99.52%,100.00%;O1/O2v2_04_glf,98.96%,100.00%;O1/O2v2_05_wbbN,98.65%,100.00%;O1/O2v2_06_wbbO,100.00%,100.00%;O1/O2v2_07_kfoC,100.00%,100.00%;O1/O2v2_08_gmlC,100.00%,100.00%;O1/O2v2_09_gmlB,100.00%,100.00%;O1/O2v2_10_gmlA,100.00%,100.00%		0		0 / 10 (0.00%)		4	O3b_01_manC,99.58%,100.00%;O3/O3a_02_manB,99.55%,97.39%;Extra_genes_wbbYZ_01_wbbY,99.59%,100.00%;Extra_genes_wbbYZ_02_wbbZ,99.63%,100.00%	
GCA_019928005.1_ASM1992800v1_genomic	O1/O2v1	O2a	Typeable		99.03%	100.00%	0 bp	7 / 7 (100.00%)	O1/O2v1_01_wzm,100.00%,100.00%;O1/O2v1_02_wzt,100.00%,100.00%;O1/O2v1_03_wbbM,99.21%,100.00%;O1/O2v1_04_glf,97.92%,100.00%;O1/O2v1_05_wbbN,97.31%,100.00%;O1/O2v1_06_wbbO,99.20%,100.00%;O1/O2v1_07_kfoC,99.54%,100.00%		0		0 / 7 (0.00%)		6	O12_01_rfbB,98.02%,100.00%;O3b_01_manC,100.00%,100.00%;OL13_02_rfbA,97.19%,98.62%;O3b_02_manB,99.77%,95.65%;OL13_03_rfbD,98.65%,100.00%;OL13_04_rfbC,96.69%,98.37%	
